Station ID,Date Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
320,1/1/2022,22.49,21.9,22.11,22.02,88,20.03,0,4.46,166.7,0
320,1/1/2022 12:15:00 AM,22.44,21.99,22.23,22.12,87.5,20.06,0,5.12,173.4,0
320,1/1/2022 12:30:00 AM,22.4,22.16,22.44,22.24,87.6,20.28,0,5.57,180.4,0
320,1/1/2022 12:45:00 AM,22.37,22.18,22.24,22.23,88.9,20.32,0,5.14,181.8,0
320,1/1/2022 1:00:00 AM,22.33,22.02,22.1,22.05,90.7,20.51,0,4.56,189,0
320,1/1/2022 1:15:00 AM,22.3,21.84,21.86,21.9,91.5,20.41,0,4.02,193.2,0
320,1/1/2022 1:30:00 AM,22.27,21.61,21.57,21.68,92.4,20.29,0,3.65,196,0
320,1/1/2022 1:45:00 AM,22.24,21.22,21.25,21.46,93.5,20.16,0,2.85,185.6,0
320,1/1/2022 2:00:00 AM,22.2,20.92,20.99,21.23,94.3,20.04,0,2.79,156.3,0
320,1/1/2022 2:15:00 AM,22.18,20.69,20.83,21.03,95.2,20.03,0,2.14,167.8,0
320,1/1/2022 2:30:00 AM,22.14,20.29,20.62,20.77,95.9,19.94,0,1.8,181.4,0
320,1/1/2022 2:45:00 AM,22.11,20.47,20.58,20.68,96.5,20,0,2.33,172,0
320,1/1/2022 3:00:00 AM,22.06,20.3,20.4,20.54,96.9,19.89,0,1.39,147.3,0
320,1/1/2022 3:15:00 AM,22.02,20.08,20.15,20.31,97.3,19.71,0,0.77,140.7,0
320,1/1/2022 3:30:00 AM,21.98,19.78,19.96,20.14,97.6,19.57,0,1.57,165,0
320,1/1/2022 3:45:00 AM,21.93,19.57,19.74,19.97,97.9,19.4,0,1.31,171.2,0
320,1/1/2022 4:00:00 AM,21.89,19.25,19.61,19.81,98.4,19.35,0,0.8,184,0
320,1/1/2022 4:15:00 AM,21.85,18.73,19.54,19.67,98.7,19.33,0,0.77,227.5,0
320,1/1/2022 4:30:00 AM,21.81,18.55,19.32,19.61,98.8,19.13,0,1.01,190.2,0
320,1/1/2022 4:45:00 AM,21.76,18.74,19.21,19.53,98.8,19.02,0,1.36,149.7,0
320,1/1/2022 5:00:00 AM,21.7,19.02,19.24,19.49,99,19.08,0,2.02,159.5,0
320,1/1/2022 5:15:00 AM,21.66,19.18,19.44,19.54,99.1,19.29,0,3.04,161.4,0
320,1/1/2022 5:30:00 AM,21.61,19.32,19.38,19.62,98.9,19.2,0,2.37,174,0
320,1/1/2022 5:45:00 AM,21.58,19.32,19.36,19.56,98.7,19.15,0,2.18,169.5,0
320,1/1/2022 6:00:00 AM,21.53,19.09,19.24,19.43,98.8,19.05,0,2.42,145.3,0
320,1/1/2022 6:15:00 AM,21.5,19.17,19.29,19.44,98.6,19.06,0,3.22,157,0
320,1/1/2022 6:30:00 AM,21.47,19.3,19.4,19.51,98.3,19.12,0,2.81,173,0
320,1/1/2022 6:45:00 AM,21.41,19.26,19.33,19.46,97.9,18.99,0,2.95,172.9,0
320,1/1/2022 7:00:00 AM,21.38,19.15,19.23,19.36,97.9,18.89,0,2.65,171.4,0
320,1/1/2022 7:15:00 AM,21.34,19.16,19.24,19.28,98,18.92,0,3.4,197.9,0.73
320,1/1/2022 7:30:00 AM,21.32,19.12,19.11,19.16,97.9,18.77,0,3.63,194.3,6.89
320,1/1/2022 7:45:00 AM,21.29,19.13,19.23,19.17,97.9,18.89,0,3.72,189.8,34.84
320,1/1/2022 8:00:00 AM,21.25,19.52,19.34,19.41,97.3,18.9,0,2.63,186.3,87.5
320,1/1/2022 8:15:00 AM,21.21,20.09,19.92,19.71,96.1,19.28,0,3,189.3,132.7
320,1/1/2022 8:30:00 AM,21.19,20.7,20.3,20.13,94.3,19.35,0,3.71,193.6,166.8
320,1/1/2022 8:45:00 AM,21.16,21.4,20.87,20.61,92.2,19.56,0,3.65,205.4,198.5
320,1/1/2022 9:00:00 AM,21.15,22.06,21.32,21.1,89.8,19.58,0,4.27,201.8,241.7
320,1/1/2022 9:15:00 AM,21.14,22.45,21.89,21.5,88.2,19.85,0,5.1,201.9,286.8
320,1/1/2022 9:30:00 AM,21.15,23.19,22.44,22.03,86.5,20.08,0,4.69,224.3,329.3
320,1/1/2022 9:45:00 AM,21.16,23.78,22.93,22.48,83.9,20.07,0,5.28,212.1,369.9
320,1/1/2022 10:00:00 AM,21.19,24.41,23.49,22.97,81.9,20.22,0,4.7,200.4,408.8
320,1/1/2022 10:15:00 AM,21.23,25.03,23.73,23.34,79.18,19.91,0,5.14,202.9,444.9
320,1/1/2022 10:30:00 AM,21.28,25.36,24,23.61,77.71,19.87,0,5.93,189.7,479.7
320,1/1/2022 10:45:00 AM,21.35,25.49,24.38,23.76,75.5,19.77,0,7.06,184.7,512.3
320,1/1/2022 11:00:00 AM,21.43,26.15,24.91,24.22,73.41,19.83,0,6.31,190.2,541.9
320,1/1/2022 11:15:00 AM,21.53,26.46,25.22,24.61,72.2,19.86,0,5.74,224.1,517.9
320,1/1/2022 11:30:00 AM,21.64,26.63,25.43,24.73,70.34,19.64,0,6.41,214.1,583.9
320,1/1/2022 11:45:00 AM,21.76,27.04,25.66,25.07,72.9,20.44,0,6.12,226.8,622.6
320,1/1/2022 12:00:00 PM,21.89,27.53,25.86,25.43,70.12,20,0,5.9,224,653.9
320,1/1/2022 12:15:00 PM,22.04,27.98,26.28,25.82,64.55,19.07,0,6.9,221.8,667.3
320,1/1/2022 12:30:00 PM,22.2,27.92,26.36,26.03,61.78,18.45,0,6.83,198.8,565.3
320,1/1/2022 12:45:00 PM,22.38,27.47,26.2,25.87,62.82,18.56,0,7.25,211.7,474.8
320,1/1/2022 1:00:00 PM,22.55,28.11,27.11,26.22,57.79,18.09,0,5.76,209.2,607.6
320,1/1/2022 1:15:00 PM,22.72,28.34,27.14,26.43,54.66,17.23,0,8.75,189.4,633.1
320,1/1/2022 1:30:00 PM,22.88,27.22,26.28,26.01,59.01,17.64,0,6.69,212.4,236.7
320,1/1/2022 1:45:00 PM,23.04,27.64,27.02,26.17,57.16,17.83,0,6.4,215.7,474.1
320,1/1/2022 2:00:00 PM,23.19,28.92,27.83,26.95,54.44,17.81,0,6.61,213.8,637.2
320,1/1/2022 2:15:00 PM,23.31,28.22,27.28,26.59,56.25,17.82,0,6.69,226.7,408.8
320,1/1/2022 2:30:00 PM,23.44,29.54,27.89,27.27,54.8,17.97,0,5.52,220.5,595.4
320,1/1/2022 2:45:00 PM,23.57,28.87,27.76,27.01,54.49,17.76,0,5.87,229.1,485.1
320,1/1/2022 3:00:00 PM,23.69,28.89,27.66,27.03,55.55,17.97,0,5.76,230.3,416.5
320,1/1/2022 3:15:00 PM,23.82,28.21,28,26.73,54.4,17.96,0,5.79,225.8,337.6
320,1/1/2022 3:30:00 PM,23.92,28.41,27.13,26.89,55.63,17.5,0,6.1,219.1,278.4
320,1/1/2022 3:45:00 PM,24.01,28.27,27.97,26.99,52.87,17.48,0,4.62,225.7,316.2
320,1/1/2022 4:00:00 PM,24.08,28.68,27.56,27.2,53.58,17.31,0,5.58,228.7,321.1
320,1/1/2022 4:15:00 PM,24.12,28.71,27.65,27.3,50.4,16.43,0,5.19,211.4,275.8
320,1/1/2022 4:30:00 PM,24.15,28.46,27.44,27.18,50.21,16.17,0,6.13,213.4,227.1
320,1/1/2022 4:45:00 PM,24.16,28.26,27.29,27.16,50.06,15.99,0,4.69,207,181.1
320,1/1/2022 5:00:00 PM,24.16,27.62,26.83,26.81,52.65,16.36,0,5.67,211.8,136.2
320,1/1/2022 5:15:00 PM,24.17,27.08,26.4,26.45,53.57,16.23,0,4.4,212.3,88.3
320,1/1/2022 5:30:00 PM,24.16,26.15,25.9,26.03,56.99,16.74,0,4.65,211.7,33.81
320,1/1/2022 5:45:00 PM,24.14,25.11,25.26,25.47,61.04,17.22,0,3.47,215,4.67
320,1/1/2022 6:00:00 PM,24.11,24.32,24.74,24.9,60.9,16.7,0,3.1,190.9,0.04
320,1/1/2022 6:15:00 PM,24.07,23.78,24.33,24.6,61.36,16.43,0,2.54,183.6,0
320,1/1/2022 6:30:00 PM,24.02,23.79,24.27,24.52,61.84,16.49,0,3.36,182.9,0
320,1/1/2022 6:45:00 PM,23.96,23.46,24.07,24.25,62.66,16.51,0,2.93,179.3,0
320,1/1/2022 7:00:00 PM,23.89,23.46,24.01,24.14,62.92,16.52,0,3.17,185.4,0
320,1/1/2022 7:15:00 PM,23.82,23.47,24,24.06,63.07,16.55,0,3.61,187.7,0
