Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
320,APOPKA,2023-01-01,00:00:00,18.99,19.6,19.4,19.45,100.0,19.4,0.0,4.01,141.2,0.0
320,APOPKA,2023-01-01,00:15:00,18.98,19.66,19.45,19.55,100.0,19.45,0.0,3.92,137.0,0.0
320,APOPKA,2023-01-01,00:30:00,18.96,19.74,19.68,19.68,100.0,19.68,0.0,4.06,143.0,0.0
320,APOPKA,2023-01-01,00:45:00,18.95,19.84,19.68,19.78,99.9,19.66,0.0,3.79,132.7,0.0
320,APOPKA,2023-01-01,01:00:00,18.93,19.77,19.77,19.89,100.0,19.77,0.0,2.2,163.6,0.0
320,APOPKA,2023-01-01,01:15:00,18.93,19.9,20.0,20.14,100.0,20.0,0.0,2.2,211.3,0.01
320,APOPKA,2023-01-01,01:30:00,18.92,19.95,19.9,20.05,99.8,19.87,0.0,2.34,248.1,0.0
320,APOPKA,2023-01-01,01:45:00,18.91,19.42,18.49,19.13,99.6,18.43,0.0,4.03,296.6,0.0
320,APOPKA,2023-01-01,02:00:00,18.9,18.64,18.34,18.38,99.8,18.31,0.0,0.75,273.2,0.0
320,APOPKA,2023-01-01,02:15:00,18.89,18.54,18.49,18.58,100.0,18.49,0.0,2.25,286.6,0.0
320,APOPKA,2023-01-01,02:30:00,18.88,18.42,17.69,18.03,99.9,17.67,0.0,3.4,318.4,0.0
320,APOPKA,2023-01-01,02:45:00,18.88,18.28,18.29,17.97,100.0,18.29,0.0,2.85,320.7,0.02
320,APOPKA,2023-01-01,03:00:00,18.87,18.61,18.21,18.31,100.0,18.21,0.0,3.26,315.6,0.0
320,APOPKA,2023-01-01,03:15:00,18.85,18.49,18.11,18.3,100.0,18.11,0.0,3.52,296.2,0.0
320,APOPKA,2023-01-01,03:30:00,18.85,18.54,18.16,18.25,100.0,18.16,0.0,2.36,293.4,0.0
320,APOPKA,2023-01-01,03:45:00,18.84,18.48,18.3,18.23,100.0,18.3,0.0,1.07,239.1,0.0
320,APOPKA,2023-01-01,04:00:00,18.83,18.59,18.36,18.33,100.0,18.36,0.0,1.06,228.1,0.0
320,APOPKA,2023-01-01,04:15:00,18.82,18.57,18.25,18.23,100.0,18.25,0.01,1.38,220.1,0.0
320,APOPKA,2023-01-01,04:30:00,18.81,18.56,18.27,18.21,100.0,18.27,0.0,1.47,211.7,0.0
320,APOPKA,2023-01-01,04:45:00,18.81,18.6,18.27,18.22,100.0,18.27,0.0,1.95,200.4,0.0
320,APOPKA,2023-01-01,05:00:00,18.79,18.55,18.29,18.28,100.0,18.29,0.0,1.94,220.7,0.0
320,APOPKA,2023-01-01,05:15:00,18.78,18.44,18.04,18.16,100.0,18.04,0.0,1.64,258.5,0.0
320,APOPKA,2023-01-01,05:30:00,18.76,18.1,17.83,17.92,100.0,17.83,0.0,1.56,222.2,0.0
320,APOPKA,2023-01-01,05:45:00,18.77,17.51,17.2,17.78,100.0,17.2,0.0,1.8,303.2,0.0
320,APOPKA,2023-01-01,06:00:00,18.75,17.61,17.48,17.64,100.0,17.48,0.0,2.19,299.7,0.0
320,APOPKA,2023-01-01,06:15:00,18.74,17.63,17.4,17.67,100.0,17.4,0.0,1.3,296.8,0.0
320,APOPKA,2023-01-01,06:30:00,18.72,17.52,17.37,17.69,100.0,17.37,0.0,0.98,252.2,0.0
320,APOPKA,2023-01-01,06:45:00,18.7,17.52,17.39,17.54,100.0,17.39,0.0,1.65,204.8,0.0
320,APOPKA,2023-01-01,07:00:00,18.69,17.68,17.35,17.34,100.0,17.35,0.0,1.9,207.4,0.0
320,APOPKA,2023-01-01,07:15:00,18.67,17.72,17.4,17.37,100.0,17.4,0.0,1.03,205.3,0.75
320,APOPKA,2023-01-01,07:30:00,18.68,17.61,17.26,17.28,100.0,17.26,0.0,0.69,179.3,5.16
320,APOPKA,2023-01-01,07:45:00,18.65,17.48,17.16,17.19,100.0,17.16,0.0,1.04,138.2,21.12
320,APOPKA,2023-01-01,08:00:00,18.64,17.34,17.05,17.17,100.0,17.05,0.0,1.68,31.2,37.15
320,APOPKA,2023-01-01,08:15:00,18.63,17.84,17.72,17.35,100.0,17.72,0.0,1.07,97.4,87.6
320,APOPKA,2023-01-01,08:30:00,18.61,18.49,18.07,17.82,100.0,18.07,0.0,0.85,178.0,118.5
320,APOPKA,2023-01-01,08:45:00,18.59,18.81,18.06,18.0,100.0,18.06,0.0,1.01,225.9,123.1
320,APOPKA,2023-01-01,09:00:00,18.58,18.99,18.34,18.12,100.0,18.34,0.0,0.8,259.2,150.3
320,APOPKA,2023-01-01,09:15:00,18.57,20.08,19.23,18.98,100.0,19.23,0.0,0.87,288.2,246.3
320,APOPKA,2023-01-01,09:30:00,18.57,20.29,19.09,19.2,100.0,19.09,0.0,2.07,350.9,194.1
