Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
490,ARCADIA,2006-01-01,00:00:00,18.34,16.39,16.35,16.38,96.10,15.73,,4.99,212.90,0.00
490,ARCADIA,2006-01-01,00:15:00,18.31,15.87,16.09,16.21,95.90,15.43,,2.45,264.00,
490,ARCADIA,2006-01-01,00:30:00,18.28,15.20,15.27,15.37,95.80,14.60,,6.32,356.90,
490,ARCADIA,2006-01-01,00:45:00,18.25,14.78,14.71,14.67,96.20,14.11,,5.99,348.20,
490,ARCADIA,2006-01-01,01:00:00,18.22,14.72,14.64,14.69,96.40,14.07,,3.56,15.12,
490,ARCADIA,2006-01-01,01:15:00,18.20,14.35,14.36,14.32,96.40,13.79,,2.42,13.20,
490,ARCADIA,2006-01-01,01:30:00,18.17,14.02,14.19,14.28,96.50,13.64,,2.06,38.48,
490,ARCADIA,2006-01-01,01:45:00,18.14,14.00,13.95,14.10,96.60,13.42,,4.42,131.00,0.00
490,ARCADIA,2006-01-01,02:00:00,18.11,14.05,14.02,14.09,96.70,13.50,,3.03,130.50,0.00
490,ARCADIA,2006-01-01,02:15:00,18.07,14.02,14.09,14.20,96.70,13.57,,2.83,159.50,0.01
490,ARCADIA,2006-01-01,02:30:00,18.04,14.03,14.15,14.23,96.70,13.63,,2.53,167.70,0.01
490,ARCADIA,2006-01-01,02:45:00,18.00,13.62,14.00,14.18,96.60,13.47,,1.01,104.00,0.01
490,ARCADIA,2006-01-01,03:00:00,17.96,13.38,13.78,14.08,96.60,13.25,,2.29,104.30,0.01
490,ARCADIA,2006-01-01,03:15:00,17.92,13.10,13.18,13.97,96.50,12.63,,3.15,113.10,0.01
490,ARCADIA,2006-01-01,03:30:00,17.88,12.96,13.01,13.79,96.70,12.50,,3.85,133.60,0.01
490,ARCADIA,2006-01-01,03:45:00,17.84,13.25,13.36,13.79,96.80,12.86,,3.43,103.10,0.02
490,ARCADIA,2006-01-01,04:00:00,17.80,13.15,13.11,13.47,96.70,12.60,,5.50,73.10,0.02
