Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
350,BALM,2018-01-01,00:00:00,20.42,13.40,13.70,14.96,92.70,12.54,0.00,1.64,142.00,0.00
350,BALM,2018-01-01,00:15:00,20.40,13.63,14.03,14.87,92.40,12.82,0.00,0.90,110.50,0.00
350,BALM,2018-01-01,00:30:00,20.38,13.58,14.15,14.93,92.50,12.95,0.00,0.71,232.40,0.00
350,BALM,2018-01-01,00:45:00,20.36,13.83,14.22,14.81,91.60,12.87,0.00,2.26,353.90,0.00
350,BALM,2018-01-01,01:00:00,20.34,13.49,13.85,14.93,91.80,12.54,0.00,2.58,15.51,0.00
350,BALM,2018-01-01,01:15:00,20.32,13.32,13.66,14.89,92.10,12.40,0.00,1.80,52.46,0.00
350,BALM,2018-01-01,01:30:00,20.30,12.36,12.55,14.42,93.60,11.55,0.00,3.20,91.00,0.00
350,BALM,2018-01-01,01:45:00,20.28,12.31,12.67,14.38,95.10,11.91,0.00,2.54,89.90,0.00
350,BALM,2018-01-01,02:00:00,20.27,12.38,12.52,14.04,95.60,11.84,0.00,2.88,95.50,0.00
350,BALM,2018-01-01,02:15:00,20.25,12.20,12.24,13.90,95.90,11.61,0.00,3.14,108.00,0.00
350,BALM,2018-01-01,02:30:00,20.22,12.65,12.71,14.06,96.10,12.10,0.00,2.98,105.30,0.00
350,BALM,2018-01-01,02:45:00,20.20,13.34,13.37,14.33,95.80,12.71,0.00,3.22,93.80,0.06
350,BALM,2018-01-01,03:00:00,20.18,13.76,13.91,14.75,94.10,12.98,0.00,3.52,128.60,0.00
350,BALM,2018-01-01,03:15:00,20.16,13.87,14.14,14.71,91.80,12.83,0.00,2.45,111.80,0.00
350,BALM,2018-01-01,03:30:00,20.15,13.53,14.01,14.54,90.50,12.48,0.00,2.09,118.30,0.00
350,BALM,2018-01-01,03:45:00,20.13,13.24,13.79,14.42,90.30,12.23,0.00,2.73,125.50,0.00
350,BALM,2018-01-01,04:00:00,20.12,13.09,13.66,14.37,90.20,12.08,0.00,3.43,136.40,0.00
350,BALM,2018-01-01,04:15:00,20.11,12.97,13.52,14.40,90.70,12.03,0.00,3.36,122.20,0.00
350,BALM,2018-01-01,04:30:00,20.10,12.74,13.32,14.39,91.30,11.93,0.00,3.20,140.00,0.00
350,BALM,2018-01-01,04:45:00,20.08,12.71,13.16,14.31,92.10,11.91,0.00,3.62,145.70,0.00
