Station ID,Date Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
350,2023-01-01 00:00:00,19.60,21.93,22.22,22.05,92.20,20.89,0.00,6.03,211.40,0.00
350,2023-01-01 00:15:00,19.61,21.90,22.18,22.01,92.30,20.87,0.00,7.31,200.80,0.00
350,2023-01-01 00:30:00,19.61,21.81,22.09,21.93,92.50,20.82,0.00,7.40,202.10,0.00
350,2023-01-01 00:45:00,19.61,21.76,22.04,21.91,92.60,20.79,0.00,8.55,196.00,0.00
350,2023-01-01 01:00:00,19.62,21.69,21.98,21.84,92.80,20.76,0.00,8.32,200.40,0.00
350,2023-01-01 01:15:00,19.62,21.54,21.84,21.71,92.90,20.64,0.00,7.69,197.30,0.00
350,2023-01-01 01:30:00,19.63,21.41,21.70,21.59,93.10,20.54,0.00,5.71,210.60,0.00
350,2023-01-01 01:45:00,19.63,21.49,21.74,21.58,93.30,20.61,0.00,5.69,214.70,0.00
350,2023-01-01 02:00:00,19.64,21.52,21.74,21.53,93.40,20.63,0.00,6.13,211.90,0.00
350,2023-01-01 02:15:00,19.64,21.50,21.69,21.48,93.50,20.60,0.00,6.66,210.90,0.00
350,2023-01-01 02:30:00,19.64,21.50,21.67,21.45,93.70,20.61,0.00,5.57,228.70,0.00
350,2023-01-01 02:45:00,19.65,21.48,21.65,21.42,93.80,20.61,0.00,4.72,237.70,0.00
350,2023-01-01 03:00:00,19.66,21.47,21.64,21.42,93.90,20.62,0.00,4.51,252.40,0.00
350,2023-01-01 03:15:00,19.66,21.44,21.61,21.40,94.00,20.60,0.00,3.66,250.10,0.00
350,2023-01-01 03:30:00,19.67,21.48,21.64,21.44,94.10,20.65,0.00,3.66,241.40,0.00
350,2023-01-01 03:45:00,19.68,21.47,21.64,21.44,94.20,20.67,0.00,3.18,251.80,0.00
350,2023-01-01 04:00:00,19.68,21.48,21.65,21.45,94.30,20.69,0.00,2.65,249.80,0.00
350,2023-01-01 04:15:00,19.68,21.51,21.68,21.49,94.30,20.72,0.00,2.99,253.40,0.00
350,2023-01-01 04:30:00,19.70,21.50,21.68,21.50,94.40,20.74,0.00,3.49,257.10,0.00
350,2023-01-01 04:45:00,19.71,21.53,21.70,21.51,94.40,20.76,0.00,3.92,259.50,0.00
350,2023-01-01 05:00:00,19.71,21.55,21.73,21.52,94.50,20.81,0.00,3.89,275.20,0.00
350,2023-01-01 05:15:00,19.72,21.56,21.72,21.53,94.50,20.80,0.00,3.83,264.80,0.00
350,2023-01-01 05:30:00,19.72,21.55,21.72,21.51,94.60,20.82,0.00,2.63,285.00,0.00
350,2023-01-01 05:45:00,19.74,21.51,21.69,21.48,94.60,20.79,0.00,2.74,291.00,0.00
350,2023-01-01 06:00:00,19.74,21.48,21.66,21.45,94.70,20.77,0.00,2.03,307.80,0.00
350,2023-01-01 06:15:00,19.75,21.41,21.57,21.36,94.70,20.68,0.00,2.57,322.60,0.00
350,2023-01-01 06:30:00,19.76,21.35,21.51,21.31,94.70,20.62,0.00,1.69,302.80,0.00
350,2023-01-01 06:45:00,19.76,21.27,21.43,21.22,94.80,20.56,0.00,1.57,310.30,0.00
350,2023-01-01 07:00:00,19.77,21.22,21.37,21.16,94.80,20.50,0.00,0.98,282.20,0.00
350,2023-01-01 07:15:00,19.78,21.14,21.32,21.14,94.90,20.47,0.00,1.59,181.20,0.58
