Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
350,BALM,2023-01-01,00:00:00,19.6,21.93,22.22,22.05,92.2,20.89,0.0,6.03,211.4,0.0
350,BALM,2023-01-01,00:15:00,19.61,21.9,22.18,22.01,92.3,20.87,0.0,7.31,200.8,0.0
350,BALM,2023-01-01,00:30:00,19.61,21.81,22.09,21.93,92.5,20.82,0.0,7.4,202.1,0.0
350,BALM,2023-01-01,00:45:00,19.61,21.76,22.04,21.91,92.6,20.79,0.0,8.55,196.0,0.0
350,BALM,2023-01-01,01:00:00,19.62,21.69,21.98,21.84,92.8,20.76,0.0,8.32,200.4,0.0
350,BALM,2023-01-01,01:15:00,19.62,21.54,21.84,21.71,92.9,20.64,0.0,7.69,197.3,0.0
350,BALM,2023-01-01,01:30:00,19.63,21.41,21.7,21.59,93.1,20.54,0.0,5.71,210.6,0.0
350,BALM,2023-01-01,01:45:00,19.63,21.49,21.74,21.58,93.3,20.61,0.0,5.69,214.7,0.0
350,BALM,2023-01-01,02:00:00,19.64,21.52,21.74,21.53,93.4,20.63,0.0,6.13,211.9,0.0
350,BALM,2023-01-01,02:15:00,19.64,21.5,21.69,21.48,93.5,20.6,0.0,6.66,210.9,0.0
350,BALM,2023-01-01,02:30:00,19.64,21.5,21.67,21.45,93.7,20.61,0.0,5.57,228.7,0.0
350,BALM,2023-01-01,02:45:00,19.65,21.48,21.65,21.42,93.8,20.61,0.0,4.72,237.7,0.0
350,BALM,2023-01-01,03:00:00,19.66,21.47,21.64,21.42,93.9,20.62,0.0,4.51,252.4,0.0
350,BALM,2023-01-01,03:15:00,19.66,21.44,21.61,21.4,94.0,20.6,0.0,3.66,250.1,0.0
350,BALM,2023-01-01,03:30:00,19.67,21.48,21.64,21.44,94.1,20.65,0.0,3.66,241.4,0.0
350,BALM,2023-01-01,03:45:00,19.68,21.47,21.64,21.44,94.2,20.67,0.0,3.18,251.8,0.0
350,BALM,2023-01-01,04:00:00,19.68,21.48,21.65,21.45,94.3,20.69,0.0,2.65,249.8,0.0
