Station ID,Date Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
230,2023-01-01 00:00:00,10.29,17.65,17.49,17.74,98.60,17.27,0.00,1.27,274.70,0.00
230,2023-01-01 00:15:00,10.27,17.65,17.47,17.71,98.60,17.25,0.00,1.35,190.20,0.00
230,2023-01-01 00:30:00,10.27,17.55,17.37,17.61,98.60,17.15,0.00,0.81,149.50,0.00
230,2023-01-01 00:45:00,10.28,17.56,17.38,17.65,98.70,17.17,0.00,1.11,136.20,0.00
230,2023-01-01 01:00:00,10.35,17.57,17.39,17.66,98.70,17.18,0.00,2.75,135.40,0.00
230,2023-01-01 01:15:00,10.29,17.63,17.45,17.72,98.70,17.24,0.00,2.56,145.80,0.00
230,2023-01-01 01:30:00,10.29,17.68,17.50,17.77,98.70,17.29,0.00,2.27,144.40,0.00
230,2023-01-01 01:45:00,10.21,17.54,17.50,17.71,98.70,17.29,0.00,1.82,150.20,0.00
230,2023-01-01 02:00:00,10.26,17.68,17.53,17.78,98.70,17.32,0.00,1.33,148.80,0.00
230,2023-01-01 02:15:00,10.32,17.68,17.53,17.81,98.70,17.32,0.00,1.52,154.20,0.00
230,2023-01-01 02:30:00,10.32,17.71,17.55,17.87,98.80,17.36,0.00,2.43,176.50,0.00
230,2023-01-01 02:45:00,10.40,17.73,17.58,17.90,98.80,17.39,0.00,2.34,170.20,0.00
230,2023-01-01 03:00:00,10.43,17.88,17.65,18.02,98.80,17.46,0.00,2.59,187.20,0.00
230,2023-01-01 03:15:00,10.33,17.75,17.60,18.00,98.80,17.41,0.00,1.81,166.80,0.00
230,2023-01-01 03:30:00,10.31,17.72,17.59,17.96,98.80,17.40,0.00,0.81,158.80,0.00
230,2023-01-01 03:45:00,10.32,17.48,17.43,17.88,98.80,17.24,0.00,1.14,105.20,0.00
230,2023-01-01 04:00:00,10.33,17.25,17.23,17.73,98.80,17.04,0.00,1.66,131.30,0.00
230,2023-01-01 04:15:00,10.33,17.02,17.11,17.59,98.80,16.92,0.00,1.60,112.90,0.00
230,2023-01-01 04:30:00,10.30,17.12,17.05,17.55,98.90,16.88,0.00,2.48,144.00,0.00
230,2023-01-01 04:45:00,10.31,17.10,17.03,17.47,98.90,16.86,0.00,2.23,138.70,0.00
230,2023-01-01 05:00:00,10.23,17.12,16.97,17.34,98.90,16.80,0.00,1.87,111.10,0.00
230,2023-01-01 05:15:00,10.22,17.21,17.01,17.34,98.90,16.84,0.00,2.08,135.40,0.00
230,2023-01-01 05:30:00,10.25,17.23,17.03,17.38,98.90,16.86,0.00,1.99,136.30,0.00
230,2023-01-01 05:45:00,10.24,17.30,17.09,17.41,98.90,16.92,0.00,2.01,154.80,0.00
230,2023-01-01 06:00:00,10.23,17.37,17.14,17.47,98.90,16.97,0.00,1.69,156.00,0.00
230,2023-01-01 06:15:00,10.21,17.36,17.16,17.54,98.90,16.99,0.00,1.07,133.40,0.00
230,2023-01-01 06:30:00,10.17,17.26,17.11,17.61,98.90,16.94,0.00,0.80,134.70,0.00
230,2023-01-01 06:45:00,10.14,17.23,17.13,17.60,99.00,16.97,0.00,1.35,104.80,0.00
230,2023-01-01 07:00:00,10.20,17.41,17.25,17.66,99.00,17.09,0.00,1.05,113.10,0.00
230,2023-01-01 07:15:00,10.19,17.50,17.32,17.68,99.00,17.16,0.00,1.40,78.70,0.12
230,2023-01-01 07:30:00,10.16,17.65,17.45,17.81,99.00,17.29,0.00,1.35,114.00,1.16
230,2023-01-01 07:45:00,10.26,17.77,17.57,17.96,99.00,17.41,0.00,0.94,181.90,4.34
230,2023-01-01 08:00:00,10.33,17.91,17.60,17.92,99.00,17.44,0.00,1.20,173.20,12.47
230,2023-01-01 08:15:00,10.30,17.98,17.74,17.98,99.00,17.58,0.00,0.88,162.90,22.75
230,2023-01-01 08:30:00,10.27,18.17,17.94,18.17,99.00,17.78,0.00,0.32,153.00,32.86
230,2023-01-01 08:45:00,10.28,18.32,18.04,18.22,99.00,17.88,0.00,1.16,149.70,40.33
