Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
250,CITRA,2008-01-01,00:00:00,17.85,17.95,18.81,18.90,81.00,15.50,0.00,2.30,158.60,0.08
250,CITRA,2008-01-01,00:15:00,17.78,17.62,18.46,18.73,82.30,15.41,0.00,3.04,148.70,0.06
250,CITRA,2008-01-01,00:30:00,17.72,17.38,18.15,18.44,83.40,15.31,0.00,2.85,144.50,0.04
250,CITRA,2008-01-01,00:45:00,19.55,16.70,16.77,16.72,90.50,15.22,0.00,0.38,240.20,0.05
250,CITRA,2008-01-01,01:00:00,19.53,16.85,16.93,16.83,90.20,15.33,0.00,1.10,292.40,0.07
250,CITRA,2008-01-01,01:15:00,17.50,16.78,17.56,17.94,85.10,15.04,0.00,4.14,145.30,0.02
250,CITRA,2008-01-01,01:30:00,17.41,16.86,17.54,17.80,84.90,14.98,0.00,4.73,144.30,0.02
250,CITRA,2008-01-01,01:45:00,17.33,16.82,17.54,17.76,84.70,14.95,0.00,3.15,154.70,0.01
250,CITRA,2008-01-01,02:00:00,19.41,16.86,16.95,16.91,89.50,15.23,0.00,0.98,197.60,0.05
250,CITRA,2008-01-01,02:15:00,19.40,17.02,17.12,17.08,88.60,15.23,0.00,1.27,180.00,0.07
250,CITRA,2008-01-01,02:30:00,19.38,16.92,17.09,16.97,89.90,15.44,0.00,2.21,169.70,0.08
250,CITRA,2008-01-01,02:45:00,19.37,16.93,17.07,16.93,91.30,15.65,0.00,0.87,281.80,0.09
250,CITRA,2008-01-01,03:00:00,19.36,16.90,17.00,16.85,92.50,15.78,0.00,0.93,358.80,0.09
250,CITRA,2008-01-01,03:15:00,19.35,16.78,16.90,16.77,93.10,15.80,0.00,0.81,120.30,0.04
250,CITRA,2008-01-01,03:30:00,19.33,16.87,16.95,16.87,93.60,15.92,0.00,0.58,292.50,0.04
250,CITRA,2008-01-01,03:45:00,19.32,16.79,16.98,16.84,94.00,16.02,0.00,0.77,8.46,0.05
250,CITRA,2008-01-01,04:00:00,19.29,16.60,16.76,16.64,94.90,15.96,0.00,0.88,339.80,0.05
250,CITRA,2008-01-01,04:15:00,19.26,16.61,16.73,16.60,95.60,16.04,0.00,0.45,347.70,0.04
250,CITRA,2008-01-01,04:30:00,19.24,16.65,16.76,16.62,96.00,16.13,0.00,0.65,314.70,0.04
250,CITRA,2008-01-01,04:45:00,19.21,16.49,16.68,16.54,96.10,16.06,0.00,0.43,308.50,0.04
250,CITRA,2008-01-01,05:00:00,19.18,15.90,16.32,16.25,96.10,15.71,0.00,0.73,314.40,0.06
250,CITRA,2008-01-01,05:15:00,19.11,15.46,15.83,15.94,96.60,15.32,0.00,1.21,324.90,0.06
250,CITRA,2008-01-01,05:30:00,19.04,15.59,15.81,15.91,97.30,15.40,0.00,0.74,307.80,0.05
250,CITRA,2008-01-01,05:45:00,18.98,15.86,15.96,16.02,97.70,15.61,0.00,1.61,307.00,0.03
250,CITRA,2008-01-01,06:00:00,18.95,16.18,16.29,16.42,97.80,15.96,0.00,3.53,320.40,0.03
250,CITRA,2008-01-01,06:15:00,18.92,16.30,16.51,16.56,97.10,16.06,0.00,2.93,316.40,0.03
250,CITRA,2008-01-01,06:30:00,18.89,15.92,16.33,16.33,96.00,15.71,0.00,1.77,295.10,0.03
250,CITRA,2008-01-01,06:45:00,18.82,15.28,15.90,16.01,95.80,15.25,0.00,0.83,276.10,0.02
250,CITRA,2008-01-01,07:00:00,18.73,14.74,15.45,15.75,96.30,14.87,0.00,1.21,308.30,0.08
250,CITRA,2008-01-01,07:15:00,18.63,14.30,15.09,15.66,96.80,14.61,0.00,1.96,303.70,0.42
250,CITRA,2008-01-01,07:30:00,18.52,14.43,14.98,15.56,97.40,14.59,0.00,3.12,306.40,2.50
250,CITRA,2008-01-01,07:45:00,18.41,15.18,15.57,15.83,95.00,14.79,0.00,4.23,308.20,7.23
250,CITRA,2008-01-01,08:00:00,18.32,15.43,15.78,15.90,91.70,14.44,0.00,4.98,310.00,19.93
250,CITRA,2008-01-01,08:15:00,18.24,15.85,16.06,16.27,89.00,14.25,0.00,5.08,316.10,54.11
250,CITRA,2008-01-01,08:30:00,18.18,16.38,16.38,16.48,86.00,14.05,0.00,5.39,319.70,116.50
250,CITRA,2008-01-01,08:45:00,18.14,17.16,16.72,16.66,82.50,13.75,0.00,6.00,319.70,166.50
250,CITRA,2008-01-01,09:00:00,18.12,17.33,16.85,16.74,78.80,13.16,0.00,5.85,324.10,173.60
250,CITRA,2008-01-01,09:15:00,18.12,18.09,17.28,17.14,73.80,12.58,0.00,6.47,316.00,210.90
250,CITRA,2008-01-01,09:30:00,18.13,17.90,17.41,17.19,69.28,11.75,0.00,8.14,321.30,274.40
250,CITRA,2008-01-01,09:45:00,18.15,18.55,17.79,17.51,64.98,11.14,0.00,7.36,319.10,312.90
250,CITRA,2008-01-01,10:00:00,18.19,18.71,17.99,17.63,61.73,10.55,0.00,9.14,327.80,348.30
250,CITRA,2008-01-01,10:15:00,18.26,18.92,18.18,17.79,58.74,9.99,0.00,8.37,317.70,369.80
250,CITRA,2008-01-01,10:30:00,18.34,18.91,18.27,17.84,55.35,9.19,0.00,9.43,314.10,404.40
250,CITRA,2008-01-01,10:45:00,18.45,19.07,18.39,17.93,52.67,8.57,0.00,9.84,317.70,421.10
250,CITRA,2008-01-01,11:00:00,18.57,19.23,18.53,18.05,50.37,8.04,0.00,9.72,316.70,453.80
250,CITRA,2008-01-01,11:15:00,18.70,19.88,18.93,18.42,49.08,8.02,0.00,8.40,323.30,475.10
250,CITRA,2008-01-01,11:30:00,18.87,19.93,19.13,18.51,45.02,6.94,0.00,9.78,323.70,489.40
250,CITRA,2008-01-01,11:45:00,19.05,20.25,19.39,18.80,42.16,6.22,0.00,9.58,323.70,501.80
250,CITRA,2008-01-01,12:00:00,19.23,20.71,19.74,19.15,41.69,6.38,0.00,8.36,313.00,520.30
250,CITRA,2008-01-01,12:15:00,19.44,21.19,20.17,19.63,41.00,6.52,0.00,7.58,320.60,545.70
250,CITRA,2008-01-01,12:30:00,19.66,21.59,20.57,19.90,41.21,6.96,0.00,8.40,322.50,521.70
250,CITRA,2008-01-01,12:45:00,19.90,21.89,20.92,20.22,41.00,7.19,0.00,8.10,317.30,533.60
250,CITRA,2008-01-01,13:00:00,20.12,21.69,20.98,20.32,39.80,6.81,0.00,10.21,319.40,531.30
250,CITRA,2008-01-01,13:15:00,20.24,21.53,20.89,20.30,40.02,6.82,0.00,10.84,313.90,545.90
250,CITRA,2008-01-01,13:30:00,20.28,21.76,21.10,20.49,39.57,6.84,0.00,10.67,311.10,534.10
250,CITRA,2008-01-01,13:45:00,20.35,21.60,20.93,20.34,41.56,7.40,0.00,10.73,317.40,515.70
250,CITRA,2008-01-01,14:00:00,20.46,21.82,21.14,20.50,41.66,7.62,0.00,10.13,323.30,498.10
250,CITRA,2008-01-01,14:15:00,20.60,21.71,21.09,20.42,38.50,6.43,0.00,9.15,291.50,479.10
250,CITRA,2008-01-01,14:30:00,20.75,21.34,20.79,20.17,39.84,6.66,0.00,10.73,311.00,455.80
250,CITRA,2008-01-01,14:45:00,20.86,20.94,20.41,19.84,42.09,7.12,0.00,10.89,316.40,428.10
250,CITRA,2008-01-01,15:00:00,20.94,21.05,20.45,19.90,42.23,7.20,0.00,8.31,304.50,398.60
250,CITRA,2008-01-01,15:15:00,21.00,20.65,20.08,19.52,42.82,7.07,0.00,9.59,310.20,366.70
250,CITRA,2008-01-01,15:30:00,21.04,20.08,19.64,19.16,41.72,6.30,0.00,10.84,310.80,331.90
250,CITRA,2008-01-01,15:45:00,21.03,19.90,19.45,18.98,40.76,5.79,0.00,9.23,297.50,296.20
250,CITRA,2008-01-01,16:00:00,20.99,19.36,19.03,18.64,40.95,5.48,0.00,10.18,316.30,257.30
250,CITRA,2008-01-01,16:15:00,20.92,19.52,19.02,18.67,41.84,5.78,0.00,7.96,310.80,218.40
250,CITRA,2008-01-01,16:30:00,20.83,18.91,18.62,18.33,39.28,4.52,0.00,9.63,312.30,177.70
250,CITRA,2008-01-01,16:45:00,20.71,18.67,18.35,18.10,37.98,3.80,0.00,7.97,308.40,130.40
250,CITRA,2008-01-01,17:00:00,20.56,17.72,17.74,17.54,37.62,3.11,0.00,7.48,308.40,73.30
250,CITRA,2008-01-01,17:15:00,20.38,17.00,17.21,17.16,37.72,2.68,0.00,7.67,310.40,55.58
250,CITRA,2008-01-01,17:30:00,20.18,16.34,16.60,16.61,35.99,1.48,0.00,9.07,314.80,21.93
250,CITRA,2008-01-01,17:45:00,19.96,15.52,15.90,15.85,36.86,1.19,0.00,7.37,313.10,9.24
250,CITRA,2008-01-01,18:00:00,19.74,14.69,15.16,15.16,39.17,1.37,0.00,7.02,316.00,2.27
250,CITRA,2008-01-01,18:15:00,19.51,14.02,14.54,14.56,40.22,1.19,0.00,6.74,324.10,0.01
250,CITRA,2008-01-01,18:30:00,19.27,13.66,14.12,14.19,38.23,0.10,0.00,8.67,317.80,0.00
250,CITRA,2008-01-01,18:45:00,19.04,13.35,13.78,13.78,35.45,-1.23,0.00,10.07,329.50,0.00
250,CITRA,2008-01-01,19:00:00,18.79,12.90,13.33,13.34,35.48,-1.62,0.00,9.22,324.10,0.00
250,CITRA,2008-01-01,19:15:00,18.55,12.55,12.96,12.98,32.47,-3.14,0.00,9.92,314.90,0.00
250,CITRA,2008-01-01,19:30:00,18.32,12.13,12.53,12.55,30.82,-4.22,0.00,9.90,318.30,0.00
250,CITRA,2008-01-01,19:45:00,18.08,11.77,12.17,12.20,31.12,-4.41,0.00,10.87,322.20,0.00
250,CITRA,2008-01-01,20:00:00,17.84,11.37,11.77,11.77,32.29,-4.26,0.00,9.29,326.30,0.00
250,CITRA,2008-01-01,20:15:00,17.63,11.00,11.44,11.44,33.44,-4.09,0.00,9.47,326.90,0.00
250,CITRA,2008-01-01,20:30:00,17.42,10.53,10.99,11.01,35.40,-3.72,0.00,8.60,325.00,0.00
250,CITRA,2008-01-01,20:45:00,17.22,10.14,10.58,10.61,37.65,-3.26,0.00,8.54,328.90,0.00
250,CITRA,2008-01-01,21:00:00,17.03,9.85,10.29,10.33,39.04,-3.04,0.00,8.91,326.90,0.00
250,CITRA,2008-01-01,21:15:00,16.85,9.61,10.04,10.07,40.24,-2.86,0.00,9.92,330.40,0.00
250,CITRA,2008-01-01,21:30:00,16.67,9.22,9.68,9.72,42.62,-2.41,0.00,7.68,328.80,0.00
250,CITRA,2008-01-01,21:45:00,16.49,8.89,9.34,9.39,43.43,-2.46,0.00,8.86,332.40,0.00
250,CITRA,2008-01-01,22:00:00,16.33,8.72,9.14,9.18,43.88,-2.51,0.00,9.41,330.20,0.00
250,CITRA,2008-01-01,22:15:00,16.16,8.50,8.95,8.98,43.86,-2.69,0.00,8.25,330.00,0.00
250,CITRA,2008-01-01,22:30:00,16.00,8.18,8.65,8.69,45.26,-2.54,0.00,6.95,328.90,0.00
250,CITRA,2008-01-01,22:45:00,15.84,7.91,8.42,8.47,45.73,-2.61,0.00,6.85,324.70,0.00
250,CITRA,2008-01-01,23:00:00,15.69,7.59,8.14,8.19,47.50,-2.35,0.00,5.62,317.70,0.00
250,CITRA,2008-01-01,23:15:00,15.55,7.59,8.06,8.16,46.93,-2.59,0.00,6.68,315.30,0.00
250,CITRA,2008-01-01,23:30:00,15.41,7.26,7.79,7.79,48.09,-2.51,0.00,5.16,306.10,0.00
250,CITRA,2008-01-01,23:45:00,15.27,6.66,7.19,7.15,49.95,-2.55,0.00,5.06,301.50,0.01
250,CITRA,2008-01-02,00:00:00,15.14,6.57,6.99,7.02,50.60,-2.56,0.00,6.85,310.30,0.01
250,CITRA,2008-01-02,00:15:00,14.99,6.51,6.97,7.00,50.46,-2.61,0.00,6.17,307.10,0.01
250,CITRA,2008-01-02,00:30:00,14.85,6.01,6.56,6.51,52.21,-2.54,0.00,4.50,297.80,0.02
250,CITRA,2008-01-02,00:45:00,14.72,5.54,6.09,6.10,52.53,-2.89,0.00,4.68,297.70,0.02
250,CITRA,2008-01-02,01:00:00,14.58,5.49,5.98,5.98,51.32,-3.31,0.00,4.87,299.90,0.03
250,CITRA,2008-01-02,01:15:00,14.46,5.33,5.80,5.84,51.09,-3.53,0.00,6.31,310.60,0.03
250,CITRA,2008-01-02,01:30:00,14.32,5.34,5.78,5.78,50.37,-3.74,0.00,6.63,307.30,0.04
250,CITRA,2008-01-02,01:45:00,14.19,5.16,5.62,5.59,50.03,-3.98,0.00,6.61,307.20,0.05
250,CITRA,2008-01-02,02:00:00,14.05,4.96,5.37,5.36,50.51,-4.08,0.00,7.70,309.00,0.04
250,CITRA,2008-01-02,02:15:00,13.91,4.99,5.35,5.31,49.21,-4.45,0.00,8.58,313.00,0.05
250,CITRA,2008-01-02,02:30:00,13.78,4.78,5.20,5.15,49.18,-4.60,0.00,7.26,311.00,0.07
250,CITRA,2008-01-02,02:45:00,13.65,4.59,5.00,4.94,49.17,-4.78,0.00,7.66,312.00,0.06
