Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
250,CITRA,2023-01-01,00:00:00,17.42,17.58,17.76,17.76,96.3,17.16,0.0,1.12,341.6,0.06
250,CITRA,2023-01-01,00:15:00,17.45,17.68,17.85,17.97,96.3,17.25,0.0,1.31,317.7,0.05
250,CITRA,2023-01-01,00:30:00,17.47,17.86,18.09,18.2,96.3,17.49,0.0,0.52,340.1,0.06
250,CITRA,2023-01-01,00:45:00,17.5,17.91,18.11,18.18,96.3,17.51,0.0,0.43,115.2,0.05
250,CITRA,2023-01-01,01:00:00,17.52,17.96,18.16,18.18,96.3,17.56,0.0,0.63,338.5,0.04
250,CITRA,2023-01-01,01:15:00,17.54,17.92,18.12,18.16,96.3,17.52,0.0,1.27,111.0,0.05
250,CITRA,2023-01-01,01:30:00,17.56,17.96,18.16,18.15,96.3,17.56,0.0,1.8,152.8,0.06
250,CITRA,2023-01-01,01:45:00,17.57,17.94,18.14,18.12,96.4,17.56,0.0,1.19,136.7,0.06
250,CITRA,2023-01-01,02:00:00,17.59,17.99,18.19,18.16,96.4,17.61,0.0,1.05,329.7,0.04
250,CITRA,2023-01-01,02:15:00,17.6,17.97,18.17,18.24,96.4,17.59,0.0,0.64,239.0,0.05
250,CITRA,2023-01-01,02:30:00,17.62,18.08,18.31,18.33,96.4,17.73,0.0,1.66,146.0,0.05
250,CITRA,2023-01-01,02:45:00,17.63,18.23,18.45,18.45,96.4,17.87,0.0,2.1,167.4,0.04
250,CITRA,2023-01-01,03:00:00,17.64,18.24,18.5,18.5,96.4,17.92,0.0,1.05,155.9,0.05
250,CITRA,2023-01-01,03:15:00,17.66,18.24,18.48,18.45,96.4,17.9,0.0,1.64,177.9,0.06
250,CITRA,2023-01-01,03:30:00,17.66,18.22,18.48,18.54,96.5,17.91,0.0,1.33,153.0,0.04
250,CITRA,2023-01-01,03:45:00,17.66,17.9,18.38,18.53,96.5,17.81,0.0,1.51,152.4,0.04
250,CITRA,2023-01-01,04:00:00,17.64,17.4,18.03,18.44,96.6,17.48,0.0,1.52,182.5,0.04
250,CITRA,2023-01-01,04:15:00,17.57,16.86,17.5,18.15,96.6,16.95,0.0,0.49,204.1,0.04
250,CITRA,2023-01-01,04:30:00,17.51,17.06,17.47,17.93,96.7,16.94,0.0,1.86,200.0,0.04
250,CITRA,2023-01-01,04:45:00,17.47,17.12,17.49,17.86,96.7,16.96,0.0,1.54,217.1,0.04
250,CITRA,2023-01-01,05:00:00,17.44,17.2,17.6,17.74,96.7,17.07,0.0,1.12,132.0,0.03
250,CITRA,2023-01-01,05:15:00,17.42,17.12,17.58,17.65,96.8,17.07,0.0,0.91,95.7,0.04
250,CITRA,2023-01-01,05:30:00,17.39,17.09,17.5,17.48,96.8,16.99,0.0,0.56,135.9,0.04
250,CITRA,2023-01-01,05:45:00,17.37,16.69,17.14,17.38,96.9,16.64,0.0,0.83,188.0,0.04
250,CITRA,2023-01-01,06:00:00,17.34,16.42,16.86,17.33,97.0,16.38,0.0,1.25,213.5,0.03
250,CITRA,2023-01-01,06:15:00,17.3,16.17,16.57,17.18,97.0,16.09,0.0,1.14,145.2,0.04
250,CITRA,2023-01-01,06:30:00,17.25,16.09,16.68,17.03,97.1,16.22,0.0,0.88,153.3,0.03
250,CITRA,2023-01-01,06:45:00,17.2,15.43,16.16,16.66,97.1,15.7,0.0,0.61,294.5,0.04
250,CITRA,2023-01-01,07:00:00,17.13,15.1,15.71,16.45,97.2,15.27,0.0,1.03,296.7,0.05
250,CITRA,2023-01-01,07:15:00,17.05,15.27,15.74,16.43,97.3,15.31,0.0,0.83,316.6,0.45
250,CITRA,2023-01-01,07:30:00,17.0,15.64,16.05,16.44,97.3,15.62,0.0,0.94,46.73,2.06
250,CITRA,2023-01-01,07:45:00,16.98,16.11,16.32,16.43,97.3,15.89,0.0,1.18,131.9,6.84
250,CITRA,2023-01-01,08:00:00,16.97,16.38,16.53,16.49,97.3,16.1,0.0,0.94,122.8,12.08
250,CITRA,2023-01-01,08:15:00,16.98,16.63,16.74,16.64,97.2,16.29,0.0,0.97,157.8,29.38
250,CITRA,2023-01-01,08:30:00,17.02,16.92,17.0,16.94,97.2,16.55,0.0,0.66,120.1,44.57
250,CITRA,2023-01-01,08:45:00,17.08,17.22,17.32,17.22,97.2,16.87,0.0,1.14,10.59,49.95
250,CITRA,2023-01-01,09:00:00,17.17,17.56,17.62,17.57,97.1,17.15,0.0,0.68,31.99,70.9
250,CITRA,2023-01-01,09:15:00,17.28,17.95,18.03,18.02,97.1,17.56,0.0,0.42,40.62,87.3
250,CITRA,2023-01-01,09:30:00,17.43,18.19,18.24,18.16,97.0,17.76,0.0,1.09,178.4,105.4
250,CITRA,2023-01-01,09:45:00,17.59,18.5,18.5,18.45,97.0,18.01,0.0,0.82,279.3,150.0
250,CITRA,2023-01-01,10:00:00,17.78,18.84,18.83,18.76,96.9,18.33,0.0,1.36,34.93,160.1
250,CITRA,2023-01-01,10:15:00,18.0,18.9,18.93,18.88,96.9,18.43,0.0,0.97,91.3,143.0
250,CITRA,2023-01-01,10:30:00,18.23,19.13,19.11,19.05,96.9,18.61,0.0,1.47,91.4,206.7
250,CITRA,2023-01-01,10:45:00,18.46,19.23,19.18,19.1,96.8,18.66,0.0,2.24,128.3,181.2
250,CITRA,2023-01-01,11:00:00,18.72,19.27,19.24,19.2,96.8,18.72,0.0,1.92,196.6,161.3
250,CITRA,2023-01-01,11:15:00,18.92,19.48,19.46,19.42,96.7,18.92,0.0,2.36,149.7,160.8
250,CITRA,2023-01-01,11:30:00,19.1,19.46,19.47,19.44,96.6,18.92,0.0,2.29,206.5,146.9
250,CITRA,2023-01-01,11:45:00,19.26,19.72,19.7,19.7,96.6,19.14,0.0,1.88,180.6,137.1
250,CITRA,2023-01-01,12:00:00,19.39,19.92,19.83,19.79,96.4,19.24,0.0,2.23,271.1,165.4
250,CITRA,2023-01-01,12:15:00,19.51,20.26,20.03,20.03,96.3,19.42,0.0,1.73,208.8,229.9
250,CITRA,2023-01-01,12:30:00,19.66,20.86,20.46,20.5,96.1,19.82,0.0,1.41,195.2,269.0
250,CITRA,2023-01-01,12:45:00,19.84,21.49,20.91,20.97,95.7,20.2,0.0,1.57,218.8,300.2
250,CITRA,2023-01-01,13:00:00,20.06,22.19,21.48,21.48,95.0,20.65,0.0,1.99,157.1,315.5
250,CITRA,2023-01-01,13:15:00,20.28,22.28,21.81,21.49,93.0,20.63,0.0,3.89,166.6,267.0
250,CITRA,2023-01-01,13:30:00,20.47,22.66,22.3,21.91,90.1,20.6,0.0,3.34,141.4,258.3
250,CITRA,2023-01-01,13:45:00,20.62,23.42,23.0,22.52,85.7,20.48,0.0,4.01,163.5,313.8
250,CITRA,2023-01-01,14:00:00,20.76,23.91,23.57,23.04,83.3,20.57,0.0,3.64,176.4,299.5
250,CITRA,2023-01-01,14:15:00,20.91,24.3,23.99,23.5,79.3,20.19,0.0,3.33,213.9,338.5
250,CITRA,2023-01-01,14:30:00,21.04,25.36,24.82,24.44,75.9,20.28,0.0,2.46,170.3,403.5
250,CITRA,2023-01-01,14:45:00,21.19,25.52,25.03,24.7,73.7,20.01,0.0,2.32,165.7,229.9
250,CITRA,2023-01-01,15:00:00,21.36,24.9,24.72,24.38,75.1,20.02,0.0,3.46,181.1,162.7
250,CITRA,2023-01-01,15:15:00,21.46,25.14,24.86,24.58,73.7,19.85,0.0,3.1,160.1,195.8
250,CITRA,2023-01-01,15:30:00,21.51,25.02,24.86,24.61,72.9,19.67,0.0,4.21,176.2,157.3
250,CITRA,2023-01-01,15:45:00,21.55,24.74,24.62,24.44,73.2,19.51,0.0,4.43,166.5,140.3
250,CITRA,2023-01-01,16:00:00,21.55,24.59,24.53,24.4,74.3,19.66,0.0,3.78,173.5,102.9
250,CITRA,2023-01-01,16:15:00,21.52,24.34,24.35,24.23,75.6,19.77,0.0,3.71,181.1,85.4
250,CITRA,2023-01-01,16:30:00,21.47,23.97,24.03,23.97,77.8,19.92,0.0,2.82,201.5,67.6
250,CITRA,2023-01-01,16:45:00,21.4,23.56,23.68,23.75,79.6,19.95,0.0,2.46,223.6,62.03
