Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
311,DADE CITY,2023-01-01,00:00:00,18.17,18.74,19.24,19.64,96.1,18.6,0.0,3.11,178.6,0.01
311,DADE CITY,2023-01-01,00:15:00,18.16,19.24,19.55,19.76,96.0,18.9,0.0,3.03,190.3,0.01
311,DADE CITY,2023-01-01,00:30:00,18.16,19.52,19.64,19.81,96.0,18.98,0.0,3.52,175.8,0.01
311,DADE CITY,2023-01-01,00:45:00,18.15,19.59,19.64,19.85,96.1,19.0,0.0,2.98,209.7,0.01
311,DADE CITY,2023-01-01,01:00:00,18.14,19.51,19.7,19.86,96.1,19.06,0.0,3.34,291.0,0.01
311,DADE CITY,2023-01-01,01:15:00,18.14,19.42,19.54,19.83,96.1,18.9,0.0,3.28,301.9,0.01
311,DADE CITY,2023-01-01,01:30:00,18.13,19.5,19.49,19.69,96.1,18.85,0.0,3.52,279.6,0.02
311,DADE CITY,2023-01-01,01:45:00,18.13,19.56,19.68,19.8,96.1,19.04,0.0,3.62,247.9,0.01
311,DADE CITY,2023-01-01,02:00:00,18.13,19.43,19.46,19.79,96.2,18.84,0.0,3.12,272.6,0.01
311,DADE CITY,2023-01-01,02:15:00,18.12,19.11,19.36,19.62,96.2,18.74,0.0,2.49,266.2,0.01
311,DADE CITY,2023-01-01,02:30:00,18.12,18.94,19.07,19.51,96.3,18.47,0.0,2.24,269.6,0.01
311,DADE CITY,2023-01-01,02:45:00,18.12,18.52,18.57,19.37,96.3,17.97,0.0,2.45,299.8,0.01
311,DADE CITY,2023-01-01,03:00:00,18.11,18.26,18.82,19.28,96.3,18.22,0.0,1.52,283.3,0.01
311,DADE CITY,2023-01-01,03:15:00,18.1,18.5,18.67,19.26,96.3,18.07,0.0,1.3,230.0,0.01
311,DADE CITY,2023-01-01,03:30:00,18.09,18.2,18.25,19.1,96.4,17.67,0.0,1.39,166.8,0.01
311,DADE CITY,2023-01-01,03:45:00,18.08,17.98,18.16,18.84,96.4,17.58,0.0,1.31,180.7,0.01
311,DADE CITY,2023-01-01,04:00:00,18.07,17.74,18.0,18.67,96.4,17.42,0.0,0.87,148.8,0.01
311,DADE CITY,2023-01-01,04:15:00,18.07,17.56,17.95,18.39,96.4,17.37,0.0,0.73,42.38,0.01
