Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
360,DOVER,2011-01-01,00:00:00,16.51,16.76,16.97,16.98,81.50,13.78,0.00,5.84,144.10,0.00
360,DOVER,2011-01-01,00:15:00,16.47,16.70,16.88,16.87,81.80,13.75,0.00,5.91,143.00,0.00
360,DOVER,2011-01-01,00:30:00,16.42,16.55,16.74,16.73,82.30,13.71,0.00,5.44,144.40,0.00
360,DOVER,2011-01-01,00:45:00,16.38,16.30,16.51,16.57,83.30,13.67,0.00,5.61,144.50,0.00
360,DOVER,2011-01-01,01:00:00,16.34,16.55,16.70,16.67,82.70,13.74,0.00,6.48,140.60,0.00
360,DOVER,2011-01-01,01:15:00,16.30,16.36,16.52,16.44,83.10,13.64,0.00,5.15,136.60,0.00
360,DOVER,2011-01-01,01:30:00,16.26,16.26,16.40,16.36,83.60,13.62,0.00,6.58,142.40,0.00
360,DOVER,2011-01-01,01:45:00,16.22,16.22,16.37,16.31,83.60,13.59,0.00,6.44,141.10,0.00
360,DOVER,2011-01-01,02:00:00,16.19,15.99,16.19,16.16,84.20,13.52,0.00,6.08,142.20,0.00
360,DOVER,2011-01-01,02:15:00,16.15,15.80,16.01,16.00,84.80,13.45,0.00,5.98,148.00,0.00
360,DOVER,2011-01-01,02:30:00,16.12,15.43,15.70,15.76,85.90,13.35,0.00,5.70,151.00,0.00
360,DOVER,2011-01-01,02:45:00,16.08,15.13,15.39,15.50,86.90,13.22,0.00,5.71,150.70,0.00
360,DOVER,2011-01-01,03:00:00,16.04,15.15,15.37,15.42,86.90,13.20,0.00,5.73,144.80,0.00
360,DOVER,2011-01-01,03:15:00,16.00,15.05,15.27,15.29,87.10,13.14,0.00,4.79,137.90,0.00
360,DOVER,2011-01-01,03:30:00,15.96,15.05,15.27,15.22,87.00,13.12,0.00,4.33,140.60,0.00
