Station ID,Date Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
360,2023-01-01 00:00:00,19.18,20.11,20.91,20.00,82.50,17.82,0.00,2.20,185.80,0.00
360,2023-01-01 00:15:00,19.16,20.06,20.91,20.03,82.40,17.80,0.00,2.37,175.50,0.00
360,2023-01-01 00:30:00,19.15,20.07,20.98,20.10,82.20,17.83,0.00,1.98,188.60,0.00
360,2023-01-01 00:45:00,19.14,20.15,21.01,20.14,82.10,17.84,0.00,1.58,168.80,0.00
360,2023-01-01 01:00:00,19.14,20.05,20.99,20.19,82.00,17.80,0.00,1.10,216.30,0.00
360,2023-01-01 01:15:00,19.13,19.85,20.88,20.17,82.00,17.69,0.00,1.09,180.50,0.00
360,2023-01-01 01:30:00,19.12,20.01,20.99,20.16,81.90,17.78,0.00,1.06,194.20,0.00
360,2023-01-01 01:45:00,19.11,20.05,21.00,20.22,81.80,17.77,0.00,1.58,181.90,0.00
360,2023-01-01 02:00:00,19.10,20.01,20.93,20.17,81.80,17.71,0.00,1.36,175.80,0.00
360,2023-01-01 02:15:00,19.09,19.97,20.94,20.18,81.70,17.70,0.00,0.89,201.00,0.00
360,2023-01-01 02:30:00,19.07,19.78,20.81,20.13,81.70,17.57,0.00,3.29,336.50,0.00
360,2023-01-01 02:45:00,19.06,19.80,20.52,19.54,81.80,17.30,0.00,3.15,345.90,0.00
360,2023-01-01 03:00:00,19.05,19.76,20.50,19.49,81.70,17.27,0.00,1.51,354.60,0.00
360,2023-01-01 03:15:00,19.04,19.80,20.55,19.52,81.60,17.30,0.00,1.30,14.15,0.00
360,2023-01-01 03:30:00,19.04,19.86,20.63,19.66,81.50,17.35,0.00,2.60,351.50,0.00
360,2023-01-01 03:45:00,19.04,20.06,20.79,19.77,81.40,17.49,0.00,2.78,351.90,0.00
360,2023-01-01 04:00:00,19.04,20.13,20.86,19.83,81.30,17.54,0.00,1.84,340.90,0.00
360,2023-01-01 04:15:00,19.05,20.26,20.98,19.93,81.20,17.64,0.00,1.27,303.90,0.00
360,2023-01-01 04:30:00,19.05,20.33,21.05,19.98,81.20,17.71,0.00,1.17,293.60,0.00
360,2023-01-01 04:45:00,19.06,20.35,21.06,20.00,81.10,17.70,0.00,0.98,295.10,0.00
360,2023-01-01 05:00:00,19.06,20.30,21.05,20.02,81.00,17.67,0.00,1.00,296.20,0.00
360,2023-01-01 05:15:00,19.08,20.38,21.10,20.03,80.90,17.70,0.00,0.72,285.40,0.00
360,2023-01-01 05:30:00,19.08,20.29,21.06,20.03,80.90,17.66,0.01,0.66,186.60,0.00
360,2023-01-01 05:45:00,19.10,20.28,21.02,19.98,80.90,17.62,0.00,0.46,141.60,0.00
360,2023-01-01 06:00:00,19.11,20.23,21.00,19.99,80.90,17.60,0.00,0.54,155.70,0.00
360,2023-01-01 06:15:00,19.12,20.17,20.97,19.94,80.90,17.57,0.00,0.65,257.20,0.00
360,2023-01-01 06:30:00,19.13,20.23,20.98,19.94,80.80,17.56,0.00,0.65,174.00,0.00
360,2023-01-01 06:45:00,19.13,20.18,20.94,19.89,80.80,17.52,0.00,0.64,228.10,0.00
360,2023-01-01 07:00:00,19.14,20.11,20.87,19.83,80.80,17.45,0.00,0.41,152.60,0.00
360,2023-01-01 07:15:00,19.15,20.02,20.79,19.75,80.80,17.37,0.00,0.41,129.50,0.79
360,2023-01-01 07:30:00,19.16,19.95,20.72,19.73,80.80,17.31,0.00,0.83,170.80,3.08
360,2023-01-01 07:45:00,19.17,19.94,20.69,19.70,80.80,17.28,0.00,0.48,141.60,6.59
360,2023-01-01 08:00:00,19.17,19.99,20.74,19.76,80.70,17.31,0.00,0.61,144.80,13.94
360,2023-01-01 08:15:00,19.18,20.39,21.05,19.95,80.60,17.59,0.00,0.52,34.83,44.09
360,2023-01-01 08:30:00,19.19,20.62,21.28,20.19,80.50,17.79,0.00,0.72,151.20,40.90
360,2023-01-01 08:45:00,19.20,20.72,21.37,20.28,80.50,17.88,0.00,0.67,78.60,23.96
360,2023-01-01 09:00:00,19.21,20.94,21.56,20.46,80.40,18.05,0.00,0.59,85.30,75.40
360,2023-01-01 09:15:00,19.23,21.15,21.76,20.63,80.30,18.22,0.00,0.45,131.00,45.58
360,2023-01-01 09:30:00,19.25,21.34,21.93,20.82,80.20,18.37,0.00,0.49,93.90,84.00
360,2023-01-01 09:45:00,19.28,21.53,22.10,21.03,80.10,18.51,0.00,0.65,100.60,80.40
360,2023-01-01 10:00:00,19.32,21.67,22.23,21.17,80.10,18.64,0.00,0.56,72.70,76.10
360,2023-01-01 10:15:00,19.36,21.82,22.36,21.29,80.10,18.76,0.00,0.66,108.80,116.20
360,2023-01-01 10:30:00,19.41,22.07,22.59,21.55,80.00,18.97,0.00,0.71,103.30,149.60
360,2023-01-01 10:45:00,19.45,22.07,22.60,21.62,80.00,18.98,0.00,0.73,54.62,113.80
360,2023-01-01 11:00:00,19.51,21.94,22.44,21.49,80.10,18.84,0.00,0.83,254.40,100.20
360,2023-01-01 11:15:00,19.58,22.05,22.57,21.66,80.00,18.95,0.00,0.86,337.30,85.00
360,2023-01-01 11:30:00,19.64,22.03,22.58,21.50,80.00,18.96,0.00,1.28,12.13,64.05
360,2023-01-01 11:45:00,19.70,22.38,22.87,21.84,80.00,19.24,0.00,0.87,87.50,159.20
360,2023-01-01 12:00:00,19.77,22.48,22.96,22.03,80.10,19.35,0.00,1.04,61.56,179.30
360,2023-01-01 12:15:00,19.83,22.55,22.98,21.95,80.40,19.43,0.00,2.40,354.80,183.60
360,2023-01-01 12:30:00,19.89,22.66,23.12,22.02,80.80,19.64,0.00,2.42,21.78,148.50
360,2023-01-01 12:45:00,19.96,22.92,23.38,22.25,81.20,19.98,0.00,1.39,13.78,167.50
360,2023-01-01 13:00:00,20.04,23.20,23.43,22.14,82.30,20.24,0.00,2.60,342.90,154.70
360,2023-01-01 13:15:00,20.14,23.35,23.52,22.10,84.20,20.70,0.00,2.75,350.30,145.20
360,2023-01-01 13:30:00,20.22,23.52,23.80,22.18,88.50,21.79,0.00,2.85,337.60,141.10
360,2023-01-01 13:45:00,20.30,23.93,24.38,22.58,89.50,22.54,0.00,2.41,4.71,262.10
360,2023-01-01 14:00:00,20.37,24.54,25.01,23.03,86.80,22.66,0.00,1.92,348.50,423.50
360,2023-01-01 14:15:00,20.44,25.49,25.79,23.82,83.60,22.80,0.00,1.97,348.50,462.30
360,2023-01-01 14:30:00,20.52,25.81,25.94,23.71,82.30,22.69,0.00,3.23,311.20,446.70
360,2023-01-01 14:45:00,20.62,25.51,25.88,23.67,81.90,22.55,0.00,2.87,300.10,361.70
360,2023-01-01 15:00:00,20.74,26.31,26.39,24.22,79.40,22.54,0.00,3.40,298.60,363.20
360,2023-01-01 15:15:00,20.85,26.03,26.33,24.15,78.00,22.19,0.00,4.39,326.60,399.30
360,2023-01-01 15:30:00,20.96,26.23,26.47,24.37,76.00,21.90,0.00,3.90,325.30,302.40
360,2023-01-01 15:45:00,21.07,25.77,26.19,24.26,78.20,22.10,0.00,2.84,306.40,190.90
360,2023-01-01 16:00:00,21.18,25.78,26.15,24.39,78.80,22.18,0.00,4.07,320.20,245.40
360,2023-01-01 16:15:00,21.27,25.52,26.05,24.21,78.40,22.00,0.00,2.46,316.80,130.90
360,2023-01-01 16:30:00,21.35,25.46,26.07,24.41,78.20,21.98,0.00,1.32,37.62,119.90
360,2023-01-01 16:45:00,21.42,24.89,25.89,25.00,80.00,22.18,0.00,0.93,49.07,104.90
360,2023-01-01 17:00:00,21.48,24.68,25.61,24.59,80.10,21.93,0.00,1.39,25.02,44.12
360,2023-01-01 17:15:00,21.52,23.64,24.70,24.47,83.60,21.74,0.00,0.98,62.57,38.12
360,2023-01-01 17:30:00,21.54,23.04,24.12,23.45,85.60,21.56,0.00,0.84,55.69,20.32
360,2023-01-01 17:45:00,21.56,22.28,23.37,22.68,87.40,21.16,0.00,0.43,159.90,9.43
360,2023-01-01 18:00:00,21.56,21.63,22.78,22.04,88.40,20.76,0.00,0.55,6.11,1.93
360,2023-01-01 18:15:00,21.55,21.06,22.29,21.61,89.10,20.41,0.00,0.76,286.70,0.10
360,2023-01-01 18:30:00,21.52,20.84,22.01,21.27,89.40,20.19,0.00,0.67,74.60,0.00
360,2023-01-01 18:45:00,21.49,20.50,21.59,20.83,89.50,19.79,0.00,0.56,128.70,0.00
360,2023-01-01 19:00:00,21.45,20.17,21.25,20.49,89.60,19.47,0.00,0.51,176.40,0.00
360,2023-01-01 19:15:00,21.40,19.99,21.03,20.30,89.60,19.26,0.00,0.51,175.30,0.00
360,2023-01-01 19:30:00,21.34,19.77,20.79,20.08,89.50,19.00,0.00,0.71,93.20,0.00
360,2023-01-01 19:45:00,21.29,19.56,20.57,19.81,89.40,18.77,0.00,0.48,342.60,0.00
360,2023-01-01 20:00:00,21.23,19.34,20.45,19.63,89.30,18.63,0.00,0.26,184.20,0.00
360,2023-01-01 20:15:00,21.17,19.24,20.27,19.47,89.20,18.43,0.00,0.64,46.27,0.00
360,2023-01-01 20:30:00,21.11,19.11,20.07,19.40,89.10,18.22,0.00,0.59,137.90,0.00
360,2023-01-01 20:45:00,21.05,18.92,19.92,19.28,88.90,18.04,0.00,0.47,105.60,0.00
360,2023-01-01 21:00:00,20.99,18.74,19.81,19.06,88.70,17.89,0.00,0.28,72.60,0.00
360,2023-01-01 21:15:00,20.93,18.70,19.70,18.91,88.40,17.73,0.00,0.80,349.80,0.00
360,2023-01-01 21:30:00,20.87,18.55,19.55,18.94,88.20,17.55,0.00,0.60,180.50,0.00
360,2023-01-01 21:45:00,20.81,18.53,19.53,18.97,88.00,17.49,0.00,0.69,84.60,0.00
360,2023-01-01 22:00:00,20.75,18.27,19.24,18.67,88.00,17.20,0.00,0.90,330.40,0.01
360,2023-01-01 22:15:00,20.69,18.22,19.19,18.49,87.70,17.10,0.00,0.60,83.50,0.00
360,2023-01-01 22:30:00,20.64,18.13,19.04,18.32,87.50,16.92,0.00,0.98,353.00,0.00
360,2023-01-01 22:45:00,20.58,17.97,18.93,18.17,87.30,16.77,0.00,0.39,320.60,0.01
360,2023-01-01 23:00:00,20.53,17.79,18.78,18.05,87.10,16.59,0.00,0.96,16.29,0.01
360,2023-01-01 23:15:00,20.48,17.57,18.66,17.87,86.90,16.44,0.00,0.56,27.40,0.01
360,2023-01-01 23:30:00,20.42,17.49,18.44,17.67,86.80,16.20,0.00,0.76,64.31,0.00
360,2023-01-01 23:45:00,20.37,17.50,18.40,17.80,86.60,16.13,0.00,1.12,59.03,0.01
