Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
360,DOVER,2022-01-01,00:00:00,23.34,19.31,20.09,18.85,97.3,19.65,0.0,1.05,87.9,0.02
360,DOVER,2022-01-01,00:15:00,23.28,19.15,19.95,18.69,97.4,19.53,0.0,0.9,122.3,0.02
360,DOVER,2022-01-01,00:30:00,23.23,18.85,19.69,18.45,97.5,19.28,0.0,0.98,158.6,0.01
360,DOVER,2022-01-01,00:45:00,23.18,18.6,19.47,18.26,97.6,19.08,0.0,0.86,166.2,0.0
360,DOVER,2022-01-01,01:00:00,23.13,18.31,19.23,18.05,97.6,18.84,0.0,1.12,182.7,0.01
360,DOVER,2022-01-01,01:15:00,23.07,18.16,19.06,17.89,97.7,18.69,0.0,0.77,187.2,0.0
360,DOVER,2022-01-01,01:30:00,23.01,17.9,18.83,17.7,97.8,18.47,0.0,0.64,195.2,0.0
360,DOVER,2022-01-01,01:45:00,22.96,17.79,18.72,17.53,97.8,18.36,0.0,0.88,187.5,0.0
360,DOVER,2022-01-01,02:00:00,22.89,17.74,18.62,17.43,97.9,18.28,0.0,1.29,171.8,0.0
360,DOVER,2022-01-01,02:15:00,22.83,17.88,18.71,17.44,97.9,18.37,0.0,1.3,174.5,0.0
360,DOVER,2022-01-01,02:30:00,22.76,17.92,18.75,17.49,97.9,18.41,0.0,1.2,181.3,0.0
360,DOVER,2022-01-01,02:45:00,22.7,17.93,18.76,17.49,97.9,18.42,0.0,1.34,167.7,0.0
360,DOVER,2022-01-01,03:00:00,22.64,17.92,18.76,17.45,98.0,18.44,0.0,0.8,163.7,0.0
360,DOVER,2022-01-01,03:15:00,22.59,17.82,18.67,17.42,98.0,18.35,0.0,1.32,169.1,0.0
360,DOVER,2022-01-01,03:30:00,22.53,17.76,18.59,17.33,98.0,18.27,0.0,0.64,159.0,0.0
360,DOVER,2022-01-01,03:45:00,22.49,17.65,18.47,17.22,98.1,18.16,0.0,0.29,179.5,0.0
360,DOVER,2022-01-01,04:00:00,22.44,17.57,18.39,17.08,98.1,18.08,0.0,1.02,163.1,0.0
360,DOVER,2022-01-01,04:15:00,22.4,17.54,18.35,17.08,98.1,18.04,0.0,0.4,241.4,0.0
360,DOVER,2022-01-01,04:30:00,22.35,17.49,18.32,17.02,98.2,18.03,0.0,0.33,347.1,0.0
360,DOVER,2022-01-01,04:45:00,22.3,17.48,18.32,17.06,98.2,18.03,0.0,0.54,227.0,0.0
360,DOVER,2022-01-01,05:00:00,22.25,17.52,18.3,17.0,98.2,18.01,0.0,0.68,113.8,0.0
360,DOVER,2022-01-01,05:15:00,22.21,17.55,18.32,16.99,98.2,18.03,0.0,0.61,121.9,0.0
360,DOVER,2022-01-01,05:30:00,22.17,17.66,18.42,17.12,98.2,18.13,0.0,0.7,133.9,0.0
360,DOVER,2022-01-01,05:45:00,22.13,17.79,18.55,17.23,98.2,18.26,0.0,0.56,126.5,0.0
360,DOVER,2022-01-01,06:00:00,22.09,17.81,18.59,17.28,98.2,18.3,0.0,1.38,167.6,0.0
360,DOVER,2022-01-01,06:15:00,22.05,17.67,18.45,17.14,98.3,18.18,0.0,1.39,168.1,0.0
360,DOVER,2022-01-01,06:30:00,22.02,17.59,18.37,17.05,98.3,18.1,0.0,1.24,163.3,0.0
360,DOVER,2022-01-01,06:45:00,21.99,17.52,18.32,17.01,98.3,18.05,0.0,1.0,168.7,0.0
360,DOVER,2022-01-01,07:00:00,21.95,17.37,18.18,16.88,98.3,17.91,0.0,0.54,128.1,0.02
360,DOVER,2022-01-01,07:15:00,21.91,17.09,17.92,16.63,98.4,17.66,0.0,0.43,125.5,0.79
360,DOVER,2022-01-01,07:30:00,21.88,16.79,17.63,16.36,98.4,17.37,0.0,0.3,116.4,4.11
360,DOVER,2022-01-01,07:45:00,21.84,16.55,17.45,16.16,98.5,17.21,0.0,0.29,111.3,10.74
360,DOVER,2022-01-01,08:00:00,21.8,16.57,17.49,16.36,98.5,17.25,0.0,0.57,140.2,17.01
360,DOVER,2022-01-01,08:15:00,21.76,16.69,17.66,17.0,98.5,17.42,0.0,0.67,170.9,20.0
360,DOVER,2022-01-01,08:30:00,21.71,17.19,18.16,18.12,98.4,17.9,0.0,1.23,169.4,22.47
360,DOVER,2022-01-01,08:45:00,21.66,18.02,18.98,18.95,98.4,18.72,0.0,1.82,182.4,25.33
360,DOVER,2022-01-01,09:00:00,21.61,18.85,19.69,19.39,98.3,19.41,0.0,2.51,181.3,30.2
360,DOVER,2022-01-01,09:15:00,21.57,19.54,20.37,20.06,98.2,20.08,0.0,2.58,177.7,29.71
360,DOVER,2022-01-01,09:30:00,21.53,20.12,20.93,20.76,98.1,20.62,0.0,2.61,183.2,33.32
360,DOVER,2022-01-01,09:45:00,21.5,20.68,21.47,21.26,98.1,21.16,0.0,2.5,186.0,45.48
360,DOVER,2022-01-01,10:00:00,21.48,21.58,22.32,21.91,98.0,21.99,0.0,2.9,173.1,312.3
360,DOVER,2022-01-01,10:15:00,21.46,22.69,23.14,22.37,98.0,22.81,0.0,3.63,168.2,405.2
360,DOVER,2022-01-01,10:30:00,21.46,24.32,24.75,23.21,91.4,23.25,0.0,2.61,181.1,423.1
360,DOVER,2022-01-01,10:45:00,21.48,25.01,25.66,23.58,80.7,22.1,0.0,4.39,190.1,450.4
360,DOVER,2022-01-01,11:00:00,21.54,25.37,25.93,23.8,77.5,21.7,0.0,4.24,185.3,513.3
360,DOVER,2022-01-01,11:15:00,21.64,25.82,26.28,24.18,76.0,21.72,0.0,4.37,188.8,446.9
360,DOVER,2022-01-01,11:30:00,21.76,25.08,25.77,23.78,76.0,21.22,0.0,4.31,188.5,206.1
360,DOVER,2022-01-01,11:45:00,21.91,25.17,25.84,23.78,75.2,21.12,0.0,4.46,186.0,271.7
360,DOVER,2022-01-01,12:00:00,22.08,26.41,26.88,24.6,70.5,21.07,0.0,4.55,180.9,521.9
360,DOVER,2022-01-01,12:15:00,22.23,27.53,27.82,25.44,64.74,20.58,0.0,4.46,177.7,513.3
360,DOVER,2022-01-01,12:30:00,22.37,27.32,27.71,25.34,63.92,20.27,0.0,4.42,183.6,500.4
360,DOVER,2022-01-01,12:45:00,22.54,27.94,28.17,25.88,61.1,19.97,0.0,4.29,193.1,633.7
360,DOVER,2022-01-01,13:00:00,22.72,27.7,28.01,25.96,61.13,19.83,0.0,5.19,199.1,484.1
360,DOVER,2022-01-01,13:15:00,22.92,27.96,28.24,26.1,59.79,19.69,0.0,3.95,189.5,598.6
360,DOVER,2022-01-01,13:30:00,23.13,28.65,28.81,26.56,56.62,19.35,0.0,5.1,181.3,572.6
360,DOVER,2022-01-01,13:45:00,23.35,28.77,28.94,26.78,55.86,19.25,0.0,4.03,173.9,516.3
360,DOVER,2022-01-01,14:00:00,23.57,27.83,28.28,26.27,57.04,18.97,0.0,4.97,184.3,396.0
360,DOVER,2022-01-01,14:15:00,23.78,28.92,29.08,27.08,54.64,19.03,0.0,4.0,188.0,546.9
360,DOVER,2022-01-01,14:30:00,23.98,28.74,28.93,27.12,53.03,18.41,0.0,5.19,209.4,428.6
360,DOVER,2022-01-01,14:45:00,24.16,28.17,28.5,26.79,54.39,18.42,0.0,4.26,210.7,427.3
360,DOVER,2022-01-01,15:00:00,24.33,28.24,28.52,26.75,54.22,18.39,0.0,4.11,176.1,380.7
360,DOVER,2022-01-01,15:15:00,24.48,28.55,28.85,27.16,52.39,18.14,0.0,4.98,193.5,333.7
360,DOVER,2022-01-01,15:30:00,24.62,27.72,28.22,26.52,55.21,18.4,0.0,4.39,189.4,262.8
360,DOVER,2022-01-01,15:45:00,24.74,27.73,28.15,26.55,54.89,18.24,0.0,3.73,200.4,235.6
360,DOVER,2022-01-01,16:00:00,24.85,27.01,27.62,26.12,55.0,17.78,0.0,3.93,208.0,75.4
360,DOVER,2022-01-01,16:15:00,24.93,27.09,27.66,26.24,54.94,17.8,0.0,2.97,203.3,219.7
360,DOVER,2022-01-01,16:30:00,25.0,27.17,27.69,26.46,59.15,19.0,0.0,4.03,217.4,151.8
360,DOVER,2022-01-01,16:45:00,25.05,26.3,27.13,25.97,62.66,19.4,0.0,3.97,227.1,111.4
360,DOVER,2022-01-01,17:00:00,25.08,25.71,26.64,25.94,64.86,19.49,0.0,2.86,216.2,30.14
360,DOVER,2022-01-01,17:15:00,25.1,25.22,26.12,25.23,66.85,19.48,0.0,2.82,230.7,22.3
360,DOVER,2022-01-01,17:30:00,25.09,24.56,25.53,24.21,69.92,19.64,0.0,1.9,213.9,14.62
360,DOVER,2022-01-01,17:45:00,25.07,23.46,24.59,23.54,74.2,19.7,0.0,1.02,182.4,7.37
