Station ID,Date Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
261,2023-01-01 00:00:00,,19.25,18.73,,98.10,18.42,0.00,1.00,282.50,
261,2023-01-01 00:15:00,,19.23,18.72,,98.10,18.41,0.00,1.35,87.30,
261,2023-01-01 00:30:00,,19.15,18.62,,98.10,18.31,0.00,0.45,350.00,
261,2023-01-01 00:45:00,,19.08,18.56,,98.10,18.25,0.00,0.53,35.94,
261,2023-01-01 01:00:00,,19.05,18.50,,98.10,18.19,0.00,0.89,37.98,
261,2023-01-01 01:15:00,,19.03,18.49,,98.10,18.18,0.00,0.40,69.23,
261,2023-01-01 01:30:00,,19.02,18.51,,98.10,18.20,0.00,0.65,346.10,
261,2023-01-01 01:45:00,,19.00,18.47,,98.10,18.16,0.00,0.61,78.50,
261,2023-01-01 02:00:00,,18.93,18.37,,98.10,18.06,0.00,1.24,150.20,
261,2023-01-01 02:15:00,,18.91,18.34,,98.10,18.03,0.00,1.07,163.20,
261,2023-01-01 02:30:00,,18.89,18.37,,98.20,18.08,0.00,0.50,156.70,
261,2023-01-01 02:45:00,,18.88,18.32,,98.20,18.03,0.00,0.71,92.10,
261,2023-01-01 03:00:00,,18.82,18.27,,98.10,17.96,0.00,0.98,54.55,
261,2023-01-01 03:15:00,,18.82,18.29,,98.20,18.00,0.00,1.07,101.90,
261,2023-01-01 03:30:00,,18.81,18.25,,98.20,17.96,0.00,0.62,226.10,
261,2023-01-01 03:45:00,,18.74,18.19,,98.20,17.90,0.00,0.71,113.40,
261,2023-01-01 04:00:00,,18.44,18.06,,98.20,17.77,0.00,0.90,100.60,
261,2023-01-01 04:15:00,,17.94,17.77,,98.20,17.48,0.00,0.77,137.50,
261,2023-01-01 04:30:00,,17.28,17.68,,98.20,17.39,0.00,0.59,347.40,
261,2023-01-01 04:45:00,,16.64,17.46,,98.20,17.17,0.00,0.53,58.20,
261,2023-01-01 05:00:00,,16.06,17.03,,98.20,16.74,0.00,0.53,47.45,
261,2023-01-01 05:15:00,,16.05,16.75,,98.20,16.46,0.00,1.20,37.73,
261,2023-01-01 05:30:00,,16.65,17.00,,98.30,16.73,0.00,0.78,359.20,
261,2023-01-01 05:45:00,,16.48,16.94,,98.30,16.67,0.00,1.01,224.10,
261,2023-01-01 06:00:00,,16.66,16.83,,98.30,16.56,0.00,0.78,245.70,
261,2023-01-01 06:15:00,,16.63,16.72,,98.30,16.45,0.00,0.77,157.10,
261,2023-01-01 06:30:00,,16.35,16.46,,98.30,16.19,0.00,0.80,42.83,
