Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
110,JAY,2015-01-01,00:00:00,13.28,5.95,6.24,6.06,97.40,5.86,0.00,6.73,43.96,0.00
110,JAY,2015-01-01,00:15:00,13.25,6.16,6.34,6.11,97.80,6.02,0.00,8.63,30.11,0.00
110,JAY,2015-01-01,00:30:00,13.23,6.53,6.66,6.34,97.50,6.29,0.00,11.98,34.30,0.00
110,JAY,2015-01-01,00:45:00,13.20,6.52,6.64,6.30,97.40,6.26,0.00,12.97,28.61,0.00
110,JAY,2015-01-01,01:00:00,13.18,6.58,6.69,6.36,97.50,6.33,0.00,11.39,32.42,0.00
110,JAY,2015-01-01,01:15:00,13.16,6.68,6.78,6.46,97.50,6.42,0.00,8.63,46.62,0.00
110,JAY,2015-01-01,01:30:00,13.14,6.78,6.89,6.58,97.40,6.51,0.00,11.31,43.37,0.00
110,JAY,2015-01-01,01:45:00,13.12,6.95,7.07,6.79,96.60,6.57,0.00,11.95,39.83,0.00
110,JAY,2015-01-01,02:00:00,13.10,7.02,7.16,6.88,96.30,6.61,0.00,9.76,37.09,0.00
110,JAY,2015-01-01,02:15:00,13.09,7.08,7.21,6.93,95.90,6.60,0.00,8.39,47.48,0.00
110,JAY,2015-01-01,02:30:00,13.07,7.12,7.24,6.94,95.90,6.63,0.00,9.19,38.09,0.00
110,JAY,2015-01-01,02:45:00,13.06,7.07,7.18,6.87,96.10,6.60,0.00,9.24,33.11,0.00
110,JAY,2015-01-01,03:00:00,13.05,7.07,7.17,6.87,96.30,6.62,0.00,9.11,30.88,0.00
110,JAY,2015-01-01,03:15:00,13.04,7.09,7.20,6.88,96.20,6.64,0.00,9.36,31.87,0.00
110,JAY,2015-01-01,03:30:00,13.03,7.10,7.22,6.93,96.00,6.63,0.00,7.55,26.50,0.00
110,JAY,2015-01-01,03:45:00,13.02,7.00,7.15,6.90,95.90,6.54,0.00,6.09,19.27,0.00
110,JAY,2015-01-01,04:00:00,13.01,7.00,7.11,6.82,96.20,6.55,0.00,5.71,9.32,0.00
110,JAY,2015-01-01,04:15:00,13.00,7.02,7.14,6.84,95.30,6.44,0.00,7.13,31.77,0.00
110,JAY,2015-01-01,04:30:00,12.99,6.97,7.08,6.76,95.20,6.36,0.00,7.44,43.05,0.00
110,JAY,2015-01-01,04:45:00,12.98,6.80,6.91,6.59,95.20,6.20,0.00,9.41,44.09,0.00
110,JAY,2015-01-01,05:00:00,12.98,6.70,6.82,6.48,95.60,6.17,0.00,9.33,46.82,0.00
110,JAY,2015-01-01,05:15:00,12.97,6.48,6.59,6.26,95.70,5.96,0.00,9.98,52.67,0.00
110,JAY,2015-01-01,05:30:00,12.96,6.34,6.45,6.11,96.20,5.89,0.00,7.30,68.16,0.00
110,JAY,2015-01-01,05:45:00,12.95,6.32,6.42,6.08,97.00,5.98,0.00,5.36,73.70,0.00
110,JAY,2015-01-01,06:00:00,12.94,6.36,6.46,6.11,97.20,6.05,0.00,6.44,89.10,0.00
110,JAY,2015-01-01,06:15:00,12.93,6.36,6.47,6.12,97.40,6.09,0.00,6.78,85.70,0.00
110,JAY,2015-01-01,06:30:00,12.92,6.36,6.46,6.11,97.60,6.11,0.00,6.86,90.50,0.02
110,JAY,2015-01-01,06:45:00,12.90,6.36,6.48,6.14,97.80,6.16,0.00,7.29,83.70,1.68
110,JAY,2015-01-01,07:00:00,12.89,6.44,6.56,6.25,97.80,6.24,0.00,4.88,83.00,9.29
110,JAY,2015-01-01,07:15:00,12.88,6.51,6.64,6.33,97.80,6.32,0.00,3.93,72.80,22.09
110,JAY,2015-01-01,07:30:00,12.88,6.59,6.69,6.41,97.60,6.34,0.00,2.82,58.26,37.10
110,JAY,2015-01-01,07:45:00,12.87,6.74,6.80,6.48,97.40,6.42,0.00,2.43,56.85,51.43
110,JAY,2015-01-01,08:00:00,12.86,6.95,6.92,6.59,97.40,6.54,0.00,3.42,82.00,71.10
110,JAY,2015-01-01,08:15:00,12.85,7.12,7.07,6.71,97.10,6.64,0.00,5.28,97.80,93.40
110,JAY,2015-01-01,08:30:00,12.85,7.33,7.24,6.90,96.40,6.71,0.00,4.80,98.80,117.30
110,JAY,2015-01-01,08:45:00,12.85,7.89,7.73,7.33,95.20,7.01,0.00,3.22,83.10,179.30
110,JAY,2015-01-01,09:00:00,12.85,8.64,8.29,7.96,93.50,7.30,0.00,2.17,91.90,192.60
110,JAY,2015-01-01,09:15:00,12.86,9.19,8.81,8.51,91.50,7.50,0.00,2.35,102.90,236.40
110,JAY,2015-01-01,09:30:00,12.87,9.50,9.10,8.59,89.90,7.53,0.00,5.65,114.60,263.80
110,JAY,2015-01-01,09:45:00,12.89,9.76,9.42,8.94,89.30,7.75,0.00,4.26,101.60,279.80
110,JAY,2015-01-01,10:00:00,12.92,10.58,10.05,9.68,87.60,8.09,0.00,2.39,86.30,315.90
110,JAY,2015-01-01,10:15:00,12.95,10.86,10.38,9.90,86.50,8.23,0.00,2.96,80.10,327.40
110,JAY,2015-01-01,10:30:00,12.99,11.36,10.77,10.50,85.00,8.35,0.00,2.50,114.10,326.20
110,JAY,2015-01-01,10:45:00,13.04,11.38,10.85,10.42,85.20,8.46,0.00,3.81,50.06,303.90
110,JAY,2015-01-01,11:00:00,13.10,11.75,11.27,10.87,84.30,8.72,0.00,2.95,46.78,334.60
110,JAY,2015-01-01,11:15:00,13.16,12.25,11.78,11.35,82.70,8.94,0.00,2.68,47.35,318.40
110,JAY,2015-01-01,11:30:00,13.22,12.25,11.78,11.37,83.30,9.04,0.00,3.06,38.44,292.10
110,JAY,2015-01-01,11:45:00,13.29,12.45,12.04,11.57,83.10,9.26,0.00,3.01,79.10,280.20
110,JAY,2015-01-01,12:00:00,13.36,13.15,12.62,12.19,81.00,9.45,0.00,2.32,89.70,382.00
110,JAY,2015-01-01,12:15:00,13.42,13.98,13.27,13.05,77.70,9.46,0.00,3.24,128.40,422.70
110,JAY,2015-01-01,12:30:00,13.49,14.26,13.67,13.27,76.90,9.69,0.00,3.38,143.40,471.00
110,JAY,2015-01-01,12:45:00,13.56,14.63,14.04,13.58,75.40,9.76,0.00,3.52,119.50,333.00
110,JAY,2015-01-01,13:00:00,13.64,14.50,14.14,14.25,74.70,9.72,0.00,1.00,46.19,296.40
110,JAY,2015-01-01,13:15:00,13.71,15.08,14.61,14.60,74.60,10.15,0.00,1.74,107.10,292.50
110,JAY,2015-01-01,13:30:00,13.79,15.35,14.74,14.59,74.30,10.22,0.00,1.87,64.53,325.60
110,JAY,2015-01-01,13:45:00,13.86,15.29,14.75,14.38,75.30,10.43,0.00,3.12,88.00,309.70
110,JAY,2015-01-01,14:00:00,13.93,15.34,14.93,14.57,74.60,10.46,0.00,2.93,118.70,268.30
110,JAY,2015-01-01,14:15:00,14.00,15.02,14.62,14.32,76.50,10.54,0.00,3.07,61.63,201.80
110,JAY,2015-01-01,14:30:00,14.07,15.19,14.84,14.53,75.40,10.53,0.00,3.51,63.54,281.10
