Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
110,JAY,2023-01-01,00:00:00,14.93,17.9,17.68,18.09,99.3,17.57,0.0,5.5,212.8,0.0
110,JAY,2023-01-01,00:15:00,14.92,18.43,18.08,18.36,99.3,17.97,0.0,5.54,220.2,0.02
110,JAY,2023-01-01,00:30:00,14.91,18.38,18.02,18.31,99.3,17.91,0.0,5.95,217.8,0.03
110,JAY,2023-01-01,00:45:00,14.91,18.25,17.93,18.24,99.3,17.82,0.0,5.52,216.5,0.01
110,JAY,2023-01-01,01:00:00,14.92,18.07,17.76,18.1,99.3,17.65,0.0,4.72,230.2,0.04
110,JAY,2023-01-01,01:15:00,14.92,17.98,17.7,18.02,99.3,17.59,0.0,4.16,229.9,0.09
110,JAY,2023-01-01,01:30:00,14.93,17.86,17.6,17.94,99.2,17.47,0.0,4.01,229.4,0.0
110,JAY,2023-01-01,01:45:00,14.93,17.6,17.41,17.78,99.2,17.28,0.0,2.81,228.4,0.0
110,JAY,2023-01-01,02:00:00,14.93,17.23,17.18,17.63,99.2,17.05,0.0,2.86,214.8,0.0
110,JAY,2023-01-01,02:15:00,14.92,17.16,17.14,17.54,99.3,17.03,0.0,2.55,217.1,0.0
110,JAY,2023-01-01,02:30:00,14.91,17.49,17.25,17.56,99.3,17.14,0.0,2.78,217.9,0.0
110,JAY,2023-01-01,02:45:00,14.89,17.55,17.27,17.55,99.3,17.16,0.0,3.11,238.2,0.0
110,JAY,2023-01-01,03:00:00,14.87,17.52,17.23,17.5,99.3,17.12,0.0,3.98,242.6,0.0
110,JAY,2023-01-01,03:15:00,14.86,17.48,17.2,17.47,99.3,17.09,0.0,4.83,237.3,0.0
110,JAY,2023-01-01,03:30:00,14.86,17.23,16.99,17.3,99.3,16.88,0.0,4.23,250.3,0.0
110,JAY,2023-01-01,03:45:00,14.85,16.71,16.62,17.03,99.3,16.51,0.0,4.69,262.8,0.0
110,JAY,2023-01-01,04:00:00,14.85,16.63,16.48,16.81,99.3,16.37,0.0,5.24,256.9,0.0
110,JAY,2023-01-01,04:15:00,14.84,16.56,16.37,16.67,99.4,16.28,0.0,4.09,256.6,0.0
110,JAY,2023-01-01,04:30:00,14.83,16.26,16.12,16.46,99.4,16.03,0.0,3.62,253.6,0.0
110,JAY,2023-01-01,04:45:00,14.82,15.79,15.82,16.22,99.4,15.73,0.0,2.24,218.8,0.0
110,JAY,2023-01-01,05:00:00,14.81,15.73,15.61,15.9,99.4,15.52,0.0,1.5,235.5,0.0
110,JAY,2023-01-01,05:15:00,14.79,15.38,15.25,15.55,99.5,15.17,0.0,1.82,214.6,0.0
110,JAY,2023-01-01,05:30:00,14.76,14.91,14.85,15.19,99.5,14.77,0.0,2.88,201.3,0.0
110,JAY,2023-01-01,05:45:00,14.74,14.44,14.51,14.98,99.6,14.45,0.0,2.42,202.8,0.0
110,JAY,2023-01-01,06:00:00,14.72,13.71,13.93,14.62,99.6,13.87,0.0,1.5,177.9,0.0
110,JAY,2023-01-01,06:15:00,14.69,13.17,13.52,14.37,99.7,13.47,0.0,1.17,161.9,0.02
110,JAY,2023-01-01,06:30:00,14.66,12.61,13.01,14.39,99.7,12.96,0.0,1.21,163.8,0.09
110,JAY,2023-01-01,06:45:00,14.62,12.16,12.63,13.81,99.8,12.6,0.01,0.94,121.5,1.17
110,JAY,2023-01-01,07:00:00,14.58,11.75,12.24,13.21,99.9,12.22,0.0,2.13,40.82,5.19
110,JAY,2023-01-01,07:15:00,14.53,11.9,12.21,13.35,99.9,12.19,0.0,1.26,62.69,28.95
110,JAY,2023-01-01,07:30:00,14.48,12.54,12.38,13.41,100.0,12.38,0.0,1.14,84.9,53.66
110,JAY,2023-01-01,07:45:00,14.43,13.17,12.9,13.48,99.9,12.88,0.0,1.44,101.3,93.3
110,JAY,2023-01-01,08:00:00,14.39,14.19,13.67,14.24,99.9,13.65,0.0,1.11,73.7,146.1
