Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
330,LAKE ALFRED,2004-01-01,00:00:00,20.15,16.76,17.11,17.12,92.00,15.80,,4.43,58.36,0.67
330,LAKE ALFRED,2004-01-01,00:15:00,20.09,16.46,16.86,16.94,92.50,15.63,,4.34,36.77,0.86
330,LAKE ALFRED,2004-01-01,00:30:00,20.03,16.23,16.64,16.80,92.70,15.45,,4.98,43.50,1.09
330,LAKE ALFRED,2004-01-01,00:45:00,19.97,16.08,16.46,16.58,93.10,15.34,,4.79,42.86,1.16
330,LAKE ALFRED,2004-01-01,01:00:00,19.90,15.99,16.34,16.45,93.30,15.25,,4.86,53.52,1.21
330,LAKE ALFRED,2004-01-01,01:15:00,19.84,15.76,16.11,16.29,93.50,15.06,,4.56,59.97,1.22
330,LAKE ALFRED,2004-01-01,01:30:00,19.77,15.70,16.02,16.21,93.80,15.02,,5.86,63.97,1.22
330,LAKE ALFRED,2004-01-01,01:45:00,19.70,15.63,15.94,16.10,94.00,14.97,,4.61,68.80,1.22
330,LAKE ALFRED,2004-01-01,02:00:00,19.63,15.27,15.74,15.95,94.10,14.79,,2.55,60.61,1.22
330,LAKE ALFRED,2004-01-01,02:15:00,19.56,15.21,15.69,15.91,94.30,14.77,,2.71,48.33,1.22
330,LAKE ALFRED,2004-01-01,02:30:00,19.50,15.40,15.75,15.94,94.50,14.87,,3.98,50.76,1.31
330,LAKE ALFRED,2004-01-01,02:45:00,19.43,15.42,15.74,15.97,94.60,14.87,,4.30,53.04,1.32
330,LAKE ALFRED,2004-01-01,03:00:00,19.36,15.31,15.68,15.87,94.60,14.81,,4.57,48.16,1.23
330,LAKE ALFRED,2004-01-01,03:15:00,19.29,15.45,15.74,15.85,94.80,14.91,,4.72,58.88,1.50
330,LAKE ALFRED,2004-01-01,03:30:00,19.23,15.21,15.57,15.77,94.70,14.72,,2.57,106.60,1.62
330,LAKE ALFRED,2004-01-01,03:45:00,19.17,14.90,15.59,15.95,94.90,14.77,,3.64,92.70,1.62
330,LAKE ALFRED,2004-01-01,04:00:00,19.11,15.08,15.63,15.99,94.90,14.81,,3.16,115.60,1.62
330,LAKE ALFRED,2004-01-01,04:15:00,19.06,15.17,15.83,16.09,95.10,15.05,,3.25,98.20,1.72
330,LAKE ALFRED,2004-01-01,04:30:00,18.99,15.07,15.56,15.87,95.00,14.76,,5.52,66.74,1.63
330,LAKE ALFRED,2004-01-01,04:45:00,18.93,15.12,15.43,15.57,95.10,14.65,,3.63,67.14,1.63
330,LAKE ALFRED,2004-01-01,05:00:00,18.88,14.76,15.24,15.52,95.10,14.46,,2.09,104.80,1.88
330,LAKE ALFRED,2004-01-01,05:15:00,18.82,14.38,15.11,15.58,95.30,14.36,,3.03,76.50,1.91
330,LAKE ALFRED,2004-01-01,05:30:00,18.77,14.77,15.17,15.28,95.30,14.42,,3.06,88.00,2.00
330,LAKE ALFRED,2004-01-01,05:45:00,18.71,14.76,15.05,15.13,95.30,14.30,,3.36,110.20,2.03
330,LAKE ALFRED,2004-01-01,06:00:00,18.66,14.99,15.28,15.28,95.50,14.56,,3.11,116.40,2.04
330,LAKE ALFRED,2004-01-01,06:15:00,18.62,15.04,15.23,15.15,95.40,14.50,,4.40,74.00,2.04
330,LAKE ALFRED,2004-01-01,06:30:00,18.58,14.66,14.83,14.67,95.30,14.08,,3.10,56.10,2.04
330,LAKE ALFRED,2004-01-01,06:45:00,18.55,14.30,14.48,14.53,95.40,13.75,,3.31,78.10,2.03
330,LAKE ALFRED,2004-01-01,07:00:00,18.53,14.36,14.48,14.44,95.60,13.78,,2.93,28.81,1.84
330,LAKE ALFRED,2004-01-01,07:15:00,18.50,14.49,14.52,14.39,95.70,13.84,,4.08,353.00,2.19
330,LAKE ALFRED,2004-01-01,07:30:00,18.48,14.64,14.65,14.50,95.80,13.99,,4.33,26.57,5.23
330,LAKE ALFRED,2004-01-01,07:45:00,18.46,14.69,14.69,14.50,95.80,14.03,,4.08,25.50,12.96
330,LAKE ALFRED,2004-01-01,08:00:00,18.44,14.74,14.73,14.52,95.80,14.07,,4.10,0.47,25.54
330,LAKE ALFRED,2004-01-01,08:15:00,18.43,14.80,14.79,14.56,95.90,14.14,,5.36,1.25,38.87
330,LAKE ALFRED,2004-01-01,08:30:00,18.43,14.93,14.87,14.62,95.90,14.22,,5.21,10.11,63.85
330,LAKE ALFRED,2004-01-01,08:45:00,18.43,14.85,14.80,14.49,95.80,14.13,,6.01,33.32,82.20
330,LAKE ALFRED,2004-01-01,09:00:00,18.43,14.87,14.77,14.48,95.90,14.12,,6.12,46.34,106.80
330,LAKE ALFRED,2004-01-01,09:15:00,18.45,15.20,15.04,14.68,96.00,14.41,,6.38,61.74,131.00
330,LAKE ALFRED,2004-01-01,09:30:00,18.46,15.53,15.38,14.96,95.90,14.73,,7.59,62.20,168.90
330,LAKE ALFRED,2004-01-01,09:45:00,18.49,16.17,15.93,15.55,96.00,15.29,,6.46,65.56,199.30
330,LAKE ALFRED,2004-01-01,10:00:00,18.52,16.84,16.59,16.13,95.80,15.92,,7.27,55.96,253.70
330,LAKE ALFRED,2004-01-01,10:15:00,18.56,17.56,17.04,16.73,95.70,16.35,,7.17,52.64,305.60
330,LAKE ALFRED,2004-01-01,10:30:00,18.62,18.98,18.00,17.81,95.40,17.25,,6.20,47.30,404.70
330,LAKE ALFRED,2004-01-01,10:45:00,18.69,19.97,18.75,18.58,93.70,17.71,,5.96,32.65,440.20
330,LAKE ALFRED,2004-01-01,11:00:00,18.78,20.65,19.59,19.09,87.30,17.42,,6.17,19.47,471.80
330,LAKE ALFRED,2004-01-01,11:15:00,18.88,21.67,20.66,19.82,80.20,17.12,,6.04,57.35,494.70
330,LAKE ALFRED,2004-01-01,11:30:00,19.01,22.69,21.89,20.94,74.70,17.19,,4.96,44.66,512.30
330,LAKE ALFRED,2004-01-01,11:45:00,19.14,23.19,22.47,21.43,71.10,16.96,,6.79,51.44,527.10
330,LAKE ALFRED,2004-01-01,12:00:00,19.30,23.72,22.95,22.08,68.60,16.86,,5.69,60.55,539.70
330,LAKE ALFRED,2004-01-01,12:15:00,19.46,24.57,23.90,23.18,64.81,16.86,,4.24,127.80,547.90
