Station ID,Date Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
330,2023-01-01 00:00:00,14.21,18.73,18.87,19.24,97.60,18.48,0.00,0.34,169.30,0.00
330,2023-01-01 00:15:00,14.18,18.73,18.71,19.08,97.60,18.32,0.00,0.51,153.30,0.00
330,2023-01-01 00:30:00,14.14,18.68,18.79,19.07,97.60,18.40,0.00,0.37,140.20,0.00
330,2023-01-01 00:45:00,14.15,18.85,19.02,19.27,97.70,18.65,0.00,0.34,107.30,0.00
330,2023-01-01 01:00:00,14.08,18.69,18.77,19.31,97.60,18.38,0.00,0.88,160.00,0.00
330,2023-01-01 01:15:00,14.06,18.78,18.87,19.36,97.70,18.50,0.00,0.73,182.10,0.00
330,2023-01-01 01:30:00,14.05,18.90,18.98,19.35,97.70,18.61,0.00,0.94,151.60,0.00
330,2023-01-01 01:45:00,13.99,18.98,18.99,19.32,97.70,18.62,0.00,0.89,205.20,0.00
330,2023-01-01 02:00:00,14.00,18.98,19.05,19.43,97.80,18.69,0.00,1.31,292.50,0.00
330,2023-01-01 02:15:00,13.98,18.91,19.04,19.48,97.80,18.68,0.00,1.22,265.80,0.00
330,2023-01-01 02:30:00,13.99,18.80,18.99,19.62,97.80,18.63,0.00,1.74,286.10,0.00
330,2023-01-01 02:45:00,13.96,18.91,19.07,19.76,97.80,18.71,0.00,2.11,291.60,0.00
330,2023-01-01 03:00:00,13.96,19.51,19.48,19.51,97.90,19.14,0.00,2.13,318.00,0.00
330,2023-01-01 03:15:00,13.92,19.44,19.35,19.34,97.80,18.99,0.00,1.76,303.10,0.00
330,2023-01-01 03:30:00,13.92,19.40,19.37,19.60,97.90,19.03,0.00,1.55,243.90,0.00
330,2023-01-01 03:45:00,13.91,19.60,19.53,19.61,97.90,19.19,0.00,2.54,321.70,0.00
330,2023-01-01 04:00:00,13.91,19.73,19.57,19.51,97.90,19.23,0.00,1.45,323.20,0.00
330,2023-01-01 04:15:00,13.91,19.79,19.66,19.60,97.90,19.32,0.00,1.54,334.10,0.00
330,2023-01-01 04:30:00,13.87,19.95,19.82,19.76,97.90,19.48,0.00,1.68,322.40,0.00
330,2023-01-01 04:45:00,13.90,20.07,19.91,19.83,97.90,19.57,0.00,1.82,296.00,0.00
330,2023-01-01 05:00:00,13.89,20.09,19.93,19.85,98.00,19.60,0.00,1.70,319.40,0.00
