Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
330,LAKE ALFRED,2023-01-01,00:00:00,14.21,18.73,18.87,19.24,97.6,18.48,0.0,0.34,169.3,0.0
330,LAKE ALFRED,2023-01-01,00:15:00,14.18,18.73,18.71,19.08,97.6,18.32,0.0,0.51,153.3,0.0
330,LAKE ALFRED,2023-01-01,00:30:00,14.14,18.68,18.79,19.07,97.6,18.4,0.0,0.37,140.2,0.0
330,LAKE ALFRED,2023-01-01,00:45:00,14.15,18.85,19.02,19.27,97.7,18.65,0.0,0.34,107.3,0.0
330,LAKE ALFRED,2023-01-01,01:00:00,14.08,18.69,18.77,19.31,97.6,18.38,0.0,0.88,160.0,0.0
330,LAKE ALFRED,2023-01-01,01:15:00,14.06,18.78,18.87,19.36,97.7,18.5,0.0,0.73,182.1,0.0
330,LAKE ALFRED,2023-01-01,01:30:00,14.05,18.9,18.98,19.35,97.7,18.61,0.0,0.94,151.6,0.0
330,LAKE ALFRED,2023-01-01,01:45:00,13.99,18.98,18.99,19.32,97.7,18.62,0.0,0.89,205.2,0.0
330,LAKE ALFRED,2023-01-01,02:00:00,14.0,18.98,19.05,19.43,97.8,18.69,0.0,1.31,292.5,0.0
330,LAKE ALFRED,2023-01-01,02:15:00,13.98,18.91,19.04,19.48,97.8,18.68,0.0,1.22,265.8,0.0
330,LAKE ALFRED,2023-01-01,02:30:00,13.99,18.8,18.99,19.62,97.8,18.63,0.0,1.74,286.1,0.0
330,LAKE ALFRED,2023-01-01,02:45:00,13.96,18.91,19.07,19.76,97.8,18.71,0.0,2.11,291.6,0.0
330,LAKE ALFRED,2023-01-01,03:00:00,13.96,19.51,19.48,19.51,97.9,19.14,0.0,2.13,318.0,0.0
330,LAKE ALFRED,2023-01-01,03:15:00,13.92,19.44,19.35,19.34,97.8,18.99,0.0,1.76,303.1,0.0
330,LAKE ALFRED,2023-01-01,03:30:00,13.92,19.4,19.37,19.6,97.9,19.03,0.0,1.55,243.9,0.0
330,LAKE ALFRED,2023-01-01,03:45:00,13.91,19.6,19.53,19.61,97.9,19.19,0.0,2.54,321.7,0.0
330,LAKE ALFRED,2023-01-01,04:00:00,13.91,19.73,19.57,19.51,97.9,19.23,0.0,1.45,323.2,0.0
330,LAKE ALFRED,2023-01-01,04:15:00,13.91,19.79,19.66,19.6,97.9,19.32,0.0,1.54,334.1,0.0
330,LAKE ALFRED,2023-01-01,04:30:00,13.87,19.95,19.82,19.76,97.9,19.48,0.0,1.68,322.4,0.0
330,LAKE ALFRED,2023-01-01,04:45:00,13.9,20.07,19.91,19.83,97.9,19.57,0.0,1.82,296.0,0.0
330,LAKE ALFRED,2023-01-01,05:00:00,13.89,20.09,19.93,19.85,98.0,19.6,0.0,1.7,319.4,0.0
330,LAKE ALFRED,2023-01-01,05:15:00,13.89,20.1,19.94,19.87,98.0,19.61,0.0,1.66,323.1,0.0
330,LAKE ALFRED,2023-01-01,05:30:00,13.9,20.14,19.98,19.9,98.0,19.65,0.0,1.86,315.9,0.0
330,LAKE ALFRED,2023-01-01,05:45:00,13.89,20.15,19.99,19.9,98.0,19.66,0.0,1.21,344.3,0.0
330,LAKE ALFRED,2023-01-01,06:00:00,13.93,20.1,19.97,19.91,98.0,19.64,0.0,1.36,317.1,0.0
330,LAKE ALFRED,2023-01-01,06:15:00,13.95,20.12,19.98,19.92,98.0,19.65,0.0,1.52,283.9,0.0
330,LAKE ALFRED,2023-01-01,06:30:00,13.94,19.98,19.88,19.9,98.0,19.55,0.0,1.11,330.9,0.0
330,LAKE ALFRED,2023-01-01,06:45:00,13.95,19.84,19.76,19.86,98.0,19.43,0.0,1.45,334.7,0.0
330,LAKE ALFRED,2023-01-01,07:00:00,13.9,20.03,19.94,19.94,98.1,19.63,0.0,1.39,270.8,0.0
330,LAKE ALFRED,2023-01-01,07:15:00,13.94,19.91,19.8,19.79,98.0,19.47,0.0,0.52,177.9,0.59
330,LAKE ALFRED,2023-01-01,07:30:00,13.97,19.77,19.64,19.57,98.0,19.32,0.0,0.4,178.7,2.97
330,LAKE ALFRED,2023-01-01,07:45:00,13.97,19.74,19.64,19.58,98.1,19.33,0.0,0.54,205.5,7.82
330,LAKE ALFRED,2023-01-01,08:00:00,13.95,19.92,19.74,19.66,98.1,19.43,0.0,0.5,256.2,20.45
330,LAKE ALFRED,2023-01-01,08:15:00,13.96,20.2,19.97,19.88,98.1,19.66,0.0,0.83,183.9,31.53
330,LAKE ALFRED,2023-01-01,08:30:00,13.97,20.37,20.14,20.03,98.1,19.83,0.0,0.71,99.7,29.93
330,LAKE ALFRED,2023-01-01,08:45:00,13.98,20.33,20.1,19.96,98.1,19.79,0.0,1.1,72.0,19.52
330,LAKE ALFRED,2023-01-01,09:00:00,14.0,20.53,20.25,20.11,98.1,19.94,0.0,1.58,56.05,71.5
330,LAKE ALFRED,2023-01-01,09:15:00,14.01,20.73,20.44,20.3,98.1,20.13,0.0,1.89,56.44,77.4
330,LAKE ALFRED,2023-01-01,09:30:00,14.02,20.98,20.64,20.47,98.1,20.33,0.0,1.85,37.12,95.8
330,LAKE ALFRED,2023-01-01,09:45:00,14.04,21.03,20.68,20.53,98.1,20.37,0.0,1.99,66.4,89.7
330,LAKE ALFRED,2023-01-01,10:00:00,14.1,21.11,20.77,20.64,98.1,20.46,0.0,1.67,63.64,99.0
330,LAKE ALFRED,2023-01-01,10:15:00,14.14,21.22,20.87,20.75,98.2,20.58,0.0,1.24,15.76,96.6
330,LAKE ALFRED,2023-01-01,10:30:00,14.18,21.44,21.0,20.86,98.2,20.7,0.0,1.62,14.9,107.5
330,LAKE ALFRED,2023-01-01,10:45:00,14.23,21.74,21.19,21.06,98.2,20.89,0.0,0.97,169.4,132.1
