Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
170,LIVE OAK,2022-01-01,00:00:00,21.73,21.77,22.22,21.78,94.2,21.24,0.0,6.52,209.8,0.0
170,LIVE OAK,2022-01-01,00:15:00,21.7,21.74,22.16,21.73,94.3,21.2,0.0,5.8,205.6,0.0
170,LIVE OAK,2022-01-01,00:30:00,21.67,21.71,22.19,21.72,94.1,21.2,0.0,6.39,208.5,0.0
170,LIVE OAK,2022-01-01,00:45:00,21.64,21.69,22.15,21.71,93.9,21.12,0.0,5.79,210.1,0.0
170,LIVE OAK,2022-01-01,01:00:00,21.62,21.7,22.15,21.72,93.9,21.12,0.0,5.59,210.6,0.0
170,LIVE OAK,2022-01-01,01:15:00,21.6,21.67,22.13,21.72,93.8,21.08,0.0,5.45,209.4,0.0
170,LIVE OAK,2022-01-01,01:30:00,21.57,21.65,22.13,21.71,93.7,21.07,0.0,6.25,211.4,0.0
170,LIVE OAK,2022-01-01,01:45:00,21.55,21.61,22.02,21.65,94.2,21.04,0.0,4.8,201.1,0.0
170,LIVE OAK,2022-01-01,02:00:00,21.53,21.55,22.0,21.6,94.4,21.06,0.0,5.89,198.5,0.0
170,LIVE OAK,2022-01-01,02:15:00,21.5,21.47,21.9,21.53,94.4,20.96,0.0,5.66,201.5,0.0
170,LIVE OAK,2022-01-01,02:30:00,21.48,21.32,21.77,21.43,94.5,20.85,0.0,5.0,196.7,0.0
170,LIVE OAK,2022-01-01,02:45:00,21.45,21.25,21.63,21.36,94.2,20.66,0.0,5.22,199.6,0.0
170,LIVE OAK,2022-01-01,03:00:00,21.43,21.14,21.67,21.24,94.0,20.66,0.0,6.18,192.9,0.0
170,LIVE OAK,2022-01-01,03:15:00,21.39,21.15,21.59,21.23,94.3,20.63,0.0,6.28,206.5,0.0
170,LIVE OAK,2022-01-01,03:30:00,21.37,21.1,21.54,21.14,94.0,20.53,0.0,4.88,202.0,0.0
170,LIVE OAK,2022-01-01,03:45:00,21.33,20.98,21.46,21.06,93.4,20.35,0.0,5.85,200.2,0.0
170,LIVE OAK,2022-01-01,04:00:00,21.3,20.9,21.39,21.0,92.9,20.19,0.0,7.49,200.1,0.0
170,LIVE OAK,2022-01-01,04:15:00,21.27,20.83,21.22,20.91,93.4,20.11,0.0,7.73,208.9,0.0
170,LIVE OAK,2022-01-01,04:30:00,21.25,20.64,21.13,20.74,94.2,20.16,0.0,4.4,197.1,0.0
170,LIVE OAK,2022-01-01,04:45:00,21.21,20.56,21.02,20.65,94.2,20.05,0.0,5.79,189.1,0.0
170,LIVE OAK,2022-01-01,05:00:00,21.18,20.45,20.78,20.54,94.5,19.86,0.0,4.48,200.2,0.0
170,LIVE OAK,2022-01-01,05:15:00,21.15,20.27,20.75,20.37,94.8,19.89,0.0,5.43,202.2,0.0
170,LIVE OAK,2022-01-01,05:30:00,21.11,20.26,20.59,20.28,94.8,19.73,0.0,4.96,192.4,0.0
170,LIVE OAK,2022-01-01,05:45:00,21.07,20.02,20.44,20.08,94.8,19.58,0.0,7.12,212.7,0.0
170,LIVE OAK,2022-01-01,06:00:00,21.04,19.85,20.22,19.94,95.4,19.46,0.0,5.09,202.9,0.0
170,LIVE OAK,2022-01-01,06:15:00,21.0,19.56,20.06,19.78,95.6,19.34,0.0,4.23,199.0,0.01
170,LIVE OAK,2022-01-01,06:30:00,20.96,19.32,19.9,19.6,96.3,19.29,0.0,3.42,177.9,0.1
170,LIVE OAK,2022-01-01,06:45:00,20.92,19.39,19.9,19.51,96.2,19.28,0.0,5.27,175.2,0.11
170,LIVE OAK,2022-01-01,07:00:00,20.87,19.37,19.82,19.45,96.2,19.2,0.0,5.31,172.2,0.16
170,LIVE OAK,2022-01-01,07:15:00,20.82,19.25,19.64,19.33,96.3,19.03,0.0,5.6,175.9,0.34
170,LIVE OAK,2022-01-01,07:30:00,20.77,19.0,19.48,19.15,96.5,18.91,0.0,4.79,168.5,2.33
