Station ID,Date Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
240,2023-01-01 00:00:00,17.47,17.14,16.83,17.59,100.00,16.83,0.00,1.75,258.40,0.00
240,2023-01-01 00:15:00,17.45,17.30,16.94,17.77,100.00,16.94,0.00,1.28,175.90,0.00
240,2023-01-01 00:30:00,17.43,17.35,16.97,17.79,100.00,16.97,0.00,1.04,174.00,0.00
240,2023-01-01 00:45:00,17.40,17.32,16.93,17.98,100.00,16.93,0.00,1.28,193.90,0.01
240,2023-01-01 01:00:00,17.39,17.37,16.99,17.95,100.00,16.99,0.00,1.12,192.10,0.00
240,2023-01-01 01:15:00,17.37,17.16,16.77,17.97,100.00,16.77,0.00,0.87,278.90,0.00
240,2023-01-01 01:30:00,17.37,17.22,16.87,18.02,100.00,16.87,0.00,1.16,243.80,0.00
240,2023-01-01 01:45:00,17.36,17.46,17.09,18.09,100.00,17.09,0.00,0.94,244.00,0.00
240,2023-01-01 02:00:00,17.36,17.42,17.07,18.19,100.00,17.07,0.00,1.05,244.80,0.00
240,2023-01-01 02:15:00,17.35,17.57,17.22,18.31,100.00,17.22,0.00,1.41,218.50,0.00
240,2023-01-01 02:30:00,17.35,17.76,17.42,18.40,100.00,17.42,0.00,0.68,191.50,0.00
240,2023-01-01 02:45:00,17.35,17.73,17.38,18.30,100.00,17.38,0.00,1.54,211.50,0.00
240,2023-01-01 03:00:00,17.34,17.72,17.38,18.30,100.00,17.38,0.00,1.67,223.40,0.00
240,2023-01-01 03:15:00,17.34,17.93,17.59,18.34,100.00,17.59,0.00,1.42,234.20,0.00
240,2023-01-01 03:30:00,17.35,18.02,17.67,18.36,100.00,17.67,0.00,1.44,224.50,0.00
240,2023-01-01 03:45:00,17.35,18.04,17.70,18.37,100.00,17.70,0.00,1.08,201.00,0.00
240,2023-01-01 04:00:00,17.35,17.71,17.55,18.28,100.00,17.55,0.00,0.86,246.90,0.00
240,2023-01-01 04:15:00,17.35,17.37,17.26,18.12,100.00,17.26,0.00,1.27,217.30,0.01
240,2023-01-01 04:30:00,17.35,17.48,17.26,18.06,100.00,17.26,0.00,1.33,273.80,0.00
240,2023-01-01 04:45:00,17.35,17.39,17.23,18.00,100.00,17.23,0.00,1.04,253.90,0.00
240,2023-01-01 05:00:00,17.35,17.19,17.07,17.88,100.00,17.07,0.00,0.73,202.50,0.00
240,2023-01-01 05:15:00,17.35,17.06,16.86,17.69,100.00,16.86,0.00,0.91,359.20,0.00
240,2023-01-01 05:30:00,17.35,16.84,16.65,17.55,100.00,16.65,0.00,1.23,89.80,0.00
240,2023-01-01 05:45:00,17.35,16.99,16.72,17.54,100.00,16.72,0.00,0.99,198.40,0.00
240,2023-01-01 06:00:00,17.35,17.10,16.74,17.51,100.00,16.74,0.00,0.87,37.57,0.00
240,2023-01-01 06:15:00,17.34,17.10,16.75,17.51,100.00,16.75,0.00,0.90,122.40,0.00
240,2023-01-01 06:30:00,17.34,17.19,16.82,17.54,100.00,16.82,0.00,0.54,142.40,0.00
240,2023-01-01 06:45:00,17.34,17.19,16.80,17.51,100.00,16.80,0.00,0.72,258.70,0.00
240,2023-01-01 07:00:00,17.33,17.23,16.85,17.56,100.00,16.85,0.00,1.39,245.80,0.00
240,2023-01-01 07:15:00,17.33,17.26,16.88,17.58,100.00,16.88,0.00,1.20,232.50,0.19
240,2023-01-01 07:30:00,17.33,17.39,17.01,17.70,100.00,17.01,0.00,1.56,234.10,1.94
240,2023-01-01 07:45:00,17.33,17.43,17.01,17.67,100.00,17.01,0.01,1.43,185.20,12.64
240,2023-01-01 08:00:00,17.33,17.64,17.17,17.73,100.00,17.17,0.00,0.91,199.00,38.47
240,2023-01-01 08:15:00,17.33,17.81,17.25,17.82,100.00,17.25,0.00,1.17,283.00,54.20
240,2023-01-01 08:30:00,17.33,17.95,17.32,17.87,100.00,17.32,0.00,1.21,233.60,68.01
240,2023-01-01 08:45:00,17.33,17.93,17.32,17.89,100.00,17.32,0.00,1.15,256.00,37.18
240,2023-01-01 09:00:00,17.34,18.03,17.44,17.98,100.00,17.44,0.00,1.17,294.10,60.85
240,2023-01-01 09:15:00,17.35,18.03,17.36,17.91,100.00,17.36,0.00,1.83,273.80,74.54
240,2023-01-01 09:30:00,17.36,18.20,17.46,18.05,100.00,17.46,0.00,1.25,302.00,117.80
240,2023-01-01 09:45:00,17.39,18.36,17.60,18.15,100.00,17.60,0.00,1.28,21.79,101.00
240,2023-01-01 10:00:00,17.40,18.50,17.71,18.26,100.00,17.71,0.00,1.26,24.24,103.70
240,2023-01-01 10:15:00,17.43,18.77,17.88,18.38,100.00,17.88,0.00,1.87,155.60,148.70
240,2023-01-01 10:30:00,17.46,18.98,18.01,18.50,100.00,18.01,0.00,1.46,133.40,154.00
240,2023-01-01 10:45:00,17.50,19.20,18.12,18.67,100.00,18.12,0.00,1.53,146.10,196.80
240,2023-01-01 11:00:00,17.54,19.53,18.36,19.01,100.00,18.36,0.00,0.93,168.40,159.00
240,2023-01-01 11:15:00,17.58,19.78,18.45,19.11,100.00,18.45,0.00,1.79,268.10,164.70
240,2023-01-01 11:30:00,17.63,20.07,18.63,19.29,100.00,18.63,0.00,1.98,291.20,195.50
240,2023-01-01 11:45:00,17.68,20.24,18.78,19.45,100.00,18.78,0.00,2.36,271.50,180.50
240,2023-01-01 12:00:00,17.74,20.69,19.19,19.71,100.00,19.19,0.00,2.24,225.90,192.80
240,2023-01-01 12:15:00,17.80,21.10,19.59,20.15,99.80,19.56,0.00,2.77,196.00,226.20
240,2023-01-01 12:30:00,17.87,21.36,19.81,20.38,98.80,19.62,0.00,2.68,195.80,215.30
240,2023-01-01 12:45:00,17.93,21.37,19.84,20.43,97.80,19.48,0.00,3.24,216.00,224.50
240,2023-01-01 13:00:00,18.00,21.72,20.21,20.81,96.80,19.69,0.00,2.51,219.10,232.30
240,2023-01-01 13:15:00,18.07,22.27,20.70,21.34,95.10,19.89,0.00,2.26,184.10,242.90
240,2023-01-01 13:30:00,18.14,22.63,21.32,21.71,91.70,19.92,0.00,3.07,168.80,257.80
240,2023-01-01 13:45:00,18.20,23.20,21.86,22.06,88.50,19.88,0.00,2.90,185.50,313.90
240,2023-01-01 14:00:00,18.27,23.83,22.44,22.60,85.40,19.87,0.00,2.65,164.40,331.80
240,2023-01-01 14:15:00,18.34,23.95,22.59,22.81,83.90,19.73,0.00,3.37,230.00,312.60
240,2023-01-01 14:30:00,18.41,24.32,22.96,23.23,82.20,19.76,0.00,2.71,213.90,285.00
240,2023-01-01 14:45:00,18.49,24.58,23.34,23.67,80.00,19.70,0.00,2.60,166.80,329.40
240,2023-01-01 15:00:00,18.58,24.93,23.55,23.71,79.13,19.73,0.00,2.58,188.20,268.90
240,2023-01-01 15:15:00,18.65,25.01,23.83,24.14,77.99,19.76,0.00,1.83,271.40,259.80
240,2023-01-01 15:30:00,18.72,25.44,24.26,24.77,75.49,19.66,0.00,1.65,97.00,291.90
240,2023-01-01 15:45:00,18.79,25.66,24.30,24.75,73.97,19.37,0.00,1.41,285.10,191.20
240,2023-01-01 16:00:00,18.86,25.20,24.08,24.48,74.45,19.26,0.00,1.84,260.90,180.00
240,2023-01-01 16:15:00,18.92,24.97,23.89,24.16,74.27,19.04,0.00,2.37,259.50,136.30
240,2023-01-01 16:30:00,18.98,24.55,23.64,24.01,75.93,19.15,0.00,1.70,250.50,112.80
