Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
240,PUTNAM HALL,2023-01-01,00:00:00,17.47,17.14,16.83,17.59,100.0,16.83,0.0,1.75,258.4,0.0
240,PUTNAM HALL,2023-01-01,00:15:00,17.45,17.3,16.94,17.77,100.0,16.94,0.0,1.28,175.9,0.0
240,PUTNAM HALL,2023-01-01,00:30:00,17.43,17.35,16.97,17.79,100.0,16.97,0.0,1.04,174.0,0.0
240,PUTNAM HALL,2023-01-01,00:45:00,17.4,17.32,16.93,17.98,100.0,16.93,0.0,1.28,193.9,0.01
240,PUTNAM HALL,2023-01-01,01:00:00,17.39,17.37,16.99,17.95,100.0,16.99,0.0,1.12,192.1,0.0
240,PUTNAM HALL,2023-01-01,01:15:00,17.37,17.16,16.77,17.97,100.0,16.77,0.0,0.87,278.9,0.0
240,PUTNAM HALL,2023-01-01,01:30:00,17.37,17.22,16.87,18.02,100.0,16.87,0.0,1.16,243.8,0.0
240,PUTNAM HALL,2023-01-01,01:45:00,17.36,17.46,17.09,18.09,100.0,17.09,0.0,0.94,244.0,0.0
240,PUTNAM HALL,2023-01-01,02:00:00,17.36,17.42,17.07,18.19,100.0,17.07,0.0,1.05,244.8,0.0
240,PUTNAM HALL,2023-01-01,02:15:00,17.35,17.57,17.22,18.31,100.0,17.22,0.0,1.41,218.5,0.0
240,PUTNAM HALL,2023-01-01,02:30:00,17.35,17.76,17.42,18.4,100.0,17.42,0.0,0.68,191.5,0.0
240,PUTNAM HALL,2023-01-01,02:45:00,17.35,17.73,17.38,18.3,100.0,17.38,0.0,1.54,211.5,0.0
240,PUTNAM HALL,2023-01-01,03:00:00,17.34,17.72,17.38,18.3,100.0,17.38,0.0,1.67,223.4,0.0
240,PUTNAM HALL,2023-01-01,03:15:00,17.34,17.93,17.59,18.34,100.0,17.59,0.0,1.42,234.2,0.0
240,PUTNAM HALL,2023-01-01,03:30:00,17.35,18.02,17.67,18.36,100.0,17.67,0.0,1.44,224.5,0.0
