Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
470,SEBRING,2011-01-01,00:00:00,16.84,13.34,14.20,14.19,92.70,13.04,0.00,2.60,141.00,0.00
470,SEBRING,2011-01-01,00:15:00,16.77,13.32,14.07,14.04,92.80,12.92,0.00,1.95,139.60,0.00
470,SEBRING,2011-01-01,00:30:00,16.70,13.17,13.95,14.02,93.20,12.87,0.00,2.23,138.40,0.00
470,SEBRING,2011-01-01,00:45:00,16.63,13.22,13.95,14.05,93.10,12.85,0.00,2.87,137.60,0.00
470,SEBRING,2011-01-01,01:00:00,16.56,13.05,13.81,13.84,93.00,12.70,0.00,2.57,144.20,0.00
470,SEBRING,2011-01-01,01:15:00,16.49,12.78,13.60,13.66,93.00,12.49,0.00,1.52,145.40,0.00
470,SEBRING,2011-01-01,01:30:00,16.43,11.72,12.91,13.50,92.80,11.77,0.00,1.31,143.70,0.00
470,SEBRING,2011-01-01,01:45:00,16.37,11.07,12.44,13.49,93.30,11.39,0.00,1.16,127.80,0.00
470,SEBRING,2011-01-01,02:00:00,16.30,10.50,12.04,13.36,93.80,11.07,0.00,1.82,123.00,0.00
470,SEBRING,2011-01-01,02:15:00,16.24,10.69,12.15,13.22,94.40,11.28,0.00,1.70,139.20,0.00
470,SEBRING,2011-01-01,02:30:00,16.17,11.07,12.68,13.24,94.60,11.84,0.00,1.58,135.90,0.00
470,SEBRING,2011-01-01,02:45:00,16.09,10.69,12.15,13.10,94.40,11.28,0.00,1.34,136.30,0.00
470,SEBRING,2011-01-01,03:00:00,16.03,10.41,11.90,13.12,94.60,11.06,0.00,1.32,146.60,0.00
470,SEBRING,2011-01-01,03:15:00,15.95,10.31,11.92,13.02,94.80,11.11,0.00,1.06,165.70,0.00
470,SEBRING,2011-01-01,03:30:00,15.89,11.03,12.11,12.92,95.10,11.35,0.00,0.49,220.60,0.00
470,SEBRING,2011-01-01,03:45:00,15.82,11.08,12.13,12.62,95.10,11.37,0.00,0.55,335.90,0.00
470,SEBRING,2011-01-01,04:00:00,15.77,11.05,12.26,12.53,95.30,11.53,0.00,0.82,5.58,0.00
470,SEBRING,2011-01-01,04:15:00,15.72,10.72,11.67,12.73,95.00,10.90,0.00,1.07,97.50,0.00
470,SEBRING,2011-01-01,04:30:00,15.68,10.83,11.74,12.62,95.30,11.01,0.00,1.51,129.10,0.00
470,SEBRING,2011-01-01,04:45:00,15.63,10.85,11.76,12.61,95.30,11.03,0.00,1.14,113.70,0.00
470,SEBRING,2011-01-01,05:00:00,15.59,10.62,11.70,12.60,95.40,10.99,0.00,1.15,104.50,0.00
470,SEBRING,2011-01-01,05:15:00,15.55,10.57,11.58,12.68,95.30,10.85,0.00,0.95,87.10,0.00
470,SEBRING,2011-01-01,05:30:00,15.52,10.26,11.51,12.61,95.50,10.82,0.00,1.23,104.80,0.00
470,SEBRING,2011-01-01,05:45:00,15.47,10.20,11.60,12.38,95.70,10.94,0.00,1.70,124.50,0.00
470,SEBRING,2011-01-01,06:00:00,15.43,10.35,11.55,12.18,95.70,10.89,0.00,1.45,135.20,0.00
470,SEBRING,2011-01-01,06:15:00,15.38,10.90,11.89,12.13,95.90,11.26,0.00,1.66,125.50,0.00
470,SEBRING,2011-01-01,06:30:00,15.33,10.91,11.80,11.88,95.80,11.15,0.00,1.80,126.10,0.00
470,SEBRING,2011-01-01,06:45:00,15.28,11.00,11.71,11.77,95.80,11.06,0.00,1.71,122.50,0.00
470,SEBRING,2011-01-01,07:00:00,15.23,10.51,11.45,11.66,95.80,10.80,0.00,1.99,120.50,0.08
470,SEBRING,2011-01-01,07:15:00,15.18,10.01,11.10,11.62,95.80,10.46,0.00,1.42,138.50,1.66
470,SEBRING,2011-01-01,07:30:00,15.12,9.89,11.15,11.95,96.00,10.54,0.00,1.87,135.50,6.98
470,SEBRING,2011-01-01,07:45:00,15.07,10.81,11.69,12.06,96.20,11.10,0.00,1.77,133.70,15.60
470,SEBRING,2011-01-01,08:00:00,15.02,11.60,12.29,12.73,96.30,11.72,0.00,2.06,138.90,27.64
470,SEBRING,2011-01-01,08:15:00,14.98,12.16,13.17,13.54,96.40,12.61,0.00,2.09,122.40,118.40
470,SEBRING,2011-01-01,08:30:00,14.94,13.20,14.11,14.29,95.80,13.45,0.00,2.23,140.20,179.40
470,SEBRING,2011-01-01,08:45:00,14.91,15.30,15.33,15.35,92.50,14.12,0.00,1.98,152.10,222.00
470,SEBRING,2011-01-01,09:00:00,14.89,16.90,16.69,16.21,85.90,14.32,0.00,3.02,150.80,263.30
470,SEBRING,2011-01-01,09:15:00,14.88,18.11,18.08,17.36,81.80,14.92,0.00,3.36,138.50,308.40
470,SEBRING,2011-01-01,09:30:00,14.88,19.78,19.53,18.74,77.50,15.49,0.00,3.04,143.70,344.40
470,SEBRING,2011-01-01,09:45:00,14.91,21.01,20.88,19.95,73.00,15.86,0.00,4.31,130.90,381.10
470,SEBRING,2011-01-01,10:00:00,14.96,22.06,21.98,21.04,68.44,15.91,0.00,5.14,139.50,419.60
470,SEBRING,2011-01-01,10:15:00,15.06,22.65,22.61,21.55,66.40,16.04,0.00,6.08,142.10,455.60
470,SEBRING,2011-01-01,10:30:00,15.18,23.07,22.98,21.83,65.86,16.26,0.00,7.27,149.50,482.60
470,SEBRING,2011-01-01,10:45:00,15.33,22.94,23.10,22.03,65.92,16.39,0.00,7.17,143.70,317.80
470,SEBRING,2011-01-01,11:00:00,15.51,23.07,23.33,22.36,65.50,16.51,0.00,7.99,138.20,356.10
470,SEBRING,2011-01-01,11:15:00,15.70,23.66,23.80,22.82,64.69,16.76,0.00,6.31,148.60,356.80
470,SEBRING,2011-01-01,11:30:00,15.89,23.43,23.66,22.69,63.96,16.45,0.00,7.31,148.80,248.10
470,SEBRING,2011-01-01,11:45:00,16.09,24.50,24.49,23.39,60.72,16.41,0.00,6.67,158.80,574.80
470,SEBRING,2011-01-01,12:00:00,16.29,24.61,24.50,23.33,59.86,16.20,0.00,6.89,159.60,342.80
470,SEBRING,2011-01-01,12:15:00,16.50,24.81,24.68,23.57,59.58,16.29,0.00,5.01,167.90,387.70
470,SEBRING,2011-01-01,12:30:00,16.72,24.53,24.46,23.37,60.72,16.39,0.00,5.44,167.90,352.80
470,SEBRING,2011-01-01,12:45:00,16.95,24.95,24.83,23.74,59.65,16.45,0.00,4.98,157.10,419.10
470,SEBRING,2011-01-01,13:00:00,17.17,25.54,25.22,24.02,58.26,16.45,0.00,5.52,153.60,345.90
470,SEBRING,2011-01-01,13:15:00,17.38,24.58,24.71,23.65,59.47,16.29,0.00,6.23,146.60,328.10
470,SEBRING,2011-01-01,13:30:00,17.59,26.31,25.97,24.70,55.90,16.50,0.00,5.75,148.70,655.00
470,SEBRING,2011-01-01,13:45:00,17.78,26.90,26.48,25.07,51.74,15.76,0.00,6.27,170.60,473.90
470,SEBRING,2011-01-01,14:00:00,18.00,26.85,26.46,25.25,51.72,15.74,0.00,4.88,167.70,538.80
470,SEBRING,2011-01-01,14:15:00,18.22,28.19,27.35,26.00,48.95,15.69,0.00,4.64,171.30,617.60
470,SEBRING,2011-01-01,14:30:00,18.45,26.90,26.48,25.21,51.94,15.82,0.00,4.48,172.20,349.10
470,SEBRING,2011-01-01,14:45:00,18.64,26.29,26.05,24.98,52.41,15.56,0.00,4.70,171.00,278.20
470,SEBRING,2011-01-01,15:00:00,18.81,25.87,25.85,24.87,52.11,15.29,0.00,5.33,164.20,283.20
470,SEBRING,2011-01-01,15:15:00,18.95,24.85,25.15,24.38,54.61,15.37,0.00,4.45,168.60,181.90
470,SEBRING,2011-01-01,15:30:00,19.06,25.34,25.57,24.72,52.89,15.26,0.00,4.94,162.40,171.80
470,SEBRING,2011-01-01,15:45:00,19.14,25.10,25.36,24.46,56.71,16.16,0.00,4.29,139.20,169.80
470,SEBRING,2011-01-01,16:00:00,19.21,25.17,25.41,24.59,57.08,16.31,0.00,3.94,147.80,149.00
470,SEBRING,2011-01-01,16:15:00,19.27,24.49,24.98,24.23,58.11,16.18,0.00,4.61,138.40,97.10
470,SEBRING,2011-01-01,16:30:00,19.32,24.54,25.00,24.18,59.19,16.49,0.00,5.05,123.20,156.40
470,SEBRING,2011-01-01,16:45:00,19.35,24.57,24.97,24.10,59.45,16.53,0.00,5.33,130.40,121.40
470,SEBRING,2011-01-01,17:00:00,19.38,23.87,24.40,23.59,61.50,16.53,0.00,4.95,129.50,69.43
470,SEBRING,2011-01-01,17:15:00,19.40,23.10,23.82,23.06,63.59,16.51,0.00,4.62,127.00,38.45
470,SEBRING,2011-01-01,17:30:00,19.41,22.43,23.20,22.58,65.61,16.41,0.00,4.24,129.20,22.19
470,SEBRING,2011-01-01,17:45:00,19.40,21.87,22.66,22.12,67.55,16.35,0.00,4.63,133.50,5.50
470,SEBRING,2011-01-01,18:00:00,19.39,21.42,22.23,21.75,69.16,16.31,0.00,4.51,133.90,0.40
470,SEBRING,2011-01-01,18:15:00,19.35,20.95,21.78,21.32,71.10,16.32,0.00,4.20,134.10,0.00
470,SEBRING,2011-01-01,18:30:00,19.30,20.42,21.26,20.85,73.30,16.29,0.00,3.55,130.40,0.00
470,SEBRING,2011-01-01,18:45:00,19.24,20.01,20.87,20.55,75.10,16.30,0.00,4.11,136.50,0.00
470,SEBRING,2011-01-01,19:00:00,19.17,19.64,20.48,20.15,76.70,16.25,0.00,3.64,132.70,0.00
470,SEBRING,2011-01-01,19:15:00,19.09,19.37,20.22,19.91,77.90,16.24,0.00,4.22,137.90,0.00
470,SEBRING,2011-01-01,19:30:00,19.02,19.27,20.09,19.73,78.10,16.16,0.00,4.74,136.20,0.00
470,SEBRING,2011-01-01,19:45:00,18.95,18.97,19.76,19.39,79.00,16.02,0.00,4.52,139.20,0.00
470,SEBRING,2011-01-01,20:00:00,18.87,18.69,19.47,19.12,80.00,15.93,0.00,4.37,141.90,0.00
470,SEBRING,2011-01-01,20:15:00,18.79,18.44,19.19,18.85,81.20,15.89,0.00,4.28,137.40,0.00
470,SEBRING,2011-01-01,20:30:00,18.72,18.13,18.88,18.59,82.50,15.84,0.00,3.32,137.70,0.00
470,SEBRING,2011-01-01,20:45:00,18.65,17.98,18.71,18.41,83.50,15.86,0.00,3.51,141.30,0.00
470,SEBRING,2011-01-01,21:00:00,18.57,18.08,18.74,18.37,83.70,15.93,0.00,2.46,142.80,0.00
470,SEBRING,2011-01-01,21:15:00,18.51,18.12,18.73,18.28,83.90,15.95,0.00,2.24,132.80,0.00
470,SEBRING,2011-01-01,21:30:00,18.45,18.03,18.63,18.13,84.40,15.95,0.00,1.80,129.90,0.00
470,SEBRING,2011-01-01,21:45:00,18.41,17.96,18.55,18.04,84.90,15.96,0.00,1.82,126.30,0.00
470,SEBRING,2011-01-01,22:00:00,18.36,17.79,18.40,17.97,85.50,15.93,0.00,2.29,136.80,0.00
470,SEBRING,2011-01-01,22:15:00,18.33,17.46,18.16,17.74,86.20,15.82,0.00,1.58,150.30,0.00
470,SEBRING,2011-01-01,22:30:00,18.29,17.07,17.85,17.46,87.00,15.66,0.00,0.74,177.70,0.00
470,SEBRING,2011-01-01,22:45:00,18.25,16.83,17.63,17.31,88.00,15.62,0.00,0.63,223.30,0.00
470,SEBRING,2011-01-01,23:00:00,18.21,16.63,17.43,17.17,88.60,15.53,0.00,0.87,161.90,0.00
470,SEBRING,2011-01-01,23:15:00,18.17,16.17,17.17,17.03,89.10,15.36,0.00,1.13,144.30,0.00
470,SEBRING,2011-01-01,23:30:00,18.12,15.36,16.68,16.81,90.00,15.03,0.00,1.85,148.70,0.00
470,SEBRING,2011-01-01,23:45:00,18.07,14.99,16.33,16.72,91.10,14.88,0.00,1.84,146.90,0.00
