Station ID,Date Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
470,1/1/2022,22.67,20.21,21.11,20.79,90.7,19.53,0,2.09,270,0
470,1/1/2022 12:15:00 AM,22.59,20.2,20.94,20.59,91.6,19.52,0,3.08,267.8,0.01
470,1/1/2022 12:30:00 AM,22.51,19.91,20.57,20.17,92.8,19.36,0,3.01,264.2,0.01
470,1/1/2022 12:45:00 AM,22.44,19.58,20.19,19.77,93.8,19.16,0,2.35,261,0
470,1/1/2022 1:00:00 AM,22.36,19.43,20.07,19.8,94.5,19.16,0,2.8,266.4,0.01
470,1/1/2022 1:15:00 AM,22.29,19.55,20.21,19.89,94.3,19.26,0,2.49,258.1,0.01
470,1/1/2022 1:30:00 AM,22.22,19.05,19.68,19.24,94.6,18.79,0,1.55,245.6,0.01
470,1/1/2022 1:45:00 AM,22.15,18.79,19.47,19.07,95.6,18.75,0,1.59,250.5,0.02
470,1/1/2022 2:00:00 AM,22.08,18.88,19.61,19.26,96.2,18.99,0,2.2,256.6,0.02
470,1/1/2022 2:15:00 AM,22.01,18.81,19.55,19.12,96.3,18.95,0,1.75,251.4,0.03
470,1/1/2022 2:30:00 AM,21.93,18.77,19.44,18.99,96.7,18.9,0,1.8,249.4,0.04
470,1/1/2022 2:45:00 AM,21.86,18.62,19.27,18.73,97,18.78,0,1.35,244.3,0.06
470,1/1/2022 3:00:00 AM,21.78,18.41,19.02,18.47,97.3,18.58,0,1.34,245.8,0.06
470,1/1/2022 3:15:00 AM,21.71,18.13,18.81,18.31,97.5,18.41,0,1.79,253,0.07
470,1/1/2022 3:30:00 AM,21.64,17.62,18.56,18.16,97.7,18.19,0,1.52,257,0.08
470,1/1/2022 3:45:00 AM,21.56,17.71,18.52,18.06,98,18.2,0,1.62,251.8,0.09
470,1/1/2022 4:00:00 AM,21.48,17.6,18.26,17.82,98,17.94,0,1.64,257,0.1
470,1/1/2022 4:15:00 AM,21.41,17.45,18.02,17.68,98.2,17.73,0,1.98,257.7,0.11
470,1/1/2022 4:30:00 AM,21.34,17.42,17.96,17.61,98.3,17.69,0,1.69,254,0.13
470,1/1/2022 4:45:00 AM,21.27,17.25,17.78,17.42,98.4,17.52,0,1.62,257.1,0.14
470,1/1/2022 5:00:00 AM,21.2,17.05,17.56,17.44,98.5,17.32,0,2.03,258.4,0.18
470,1/1/2022 5:15:00 AM,21.13,16.94,17.42,17.08,98.6,17.2,0,1.35,262,0.23
470,1/1/2022 5:30:00 AM,21.07,16.48,17.19,17.16,98.5,16.95,0,0.68,306.7,0.22
470,1/1/2022 5:45:00 AM,21.01,16.1,16.91,16.96,98.6,16.69,0,0.32,327.8,0.2
470,1/1/2022 6:00:00 AM,20.94,16.09,16.88,17.54,98.7,16.67,0,1.27,340.4,0.18
470,1/1/2022 6:15:00 AM,20.87,16.01,16.88,17.81,98.7,16.67,0,1.17,327.4,0.18
470,1/1/2022 6:30:00 AM,20.8,15.64,16.52,17.6,98.7,16.31,0,0.73,311.8,0.15
470,1/1/2022 6:45:00 AM,20.74,16.25,17.35,17.67,99.1,17.21,0,0.52,296.1,0.16
470,1/1/2022 7:00:00 AM,20.67,15.84,17.08,17.68,98.8,16.89,0,0.81,307.5,0.35
470,1/1/2022 7:15:00 AM,20.61,15.47,16.84,17.41,98.9,16.67,0,0.99,279,1.84
470,1/1/2022 7:30:00 AM,20.54,16.52,17.37,18,99.1,17.23,0,1.64,270,7.17
