Station ID,Station Name,Date,Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
470,SEBRING,2021-01-01,00:00:00,20.69,19.86,20.28,19.83,96.5,19.71,0.0,3.95,230.3,0.02
470,SEBRING,2021-01-01,00:15:00,20.62,19.89,20.33,19.92,96.6,19.77,0.0,3.91,235.1,0.01
470,SEBRING,2021-01-01,00:30:00,20.55,19.9,20.39,19.98,96.5,19.81,0.0,4.05,236.8,0.03
470,SEBRING,2021-01-01,00:45:00,20.49,19.89,20.38,19.96,96.5,19.8,0.0,3.67,233.3,0.02
470,SEBRING,2021-01-01,01:00:00,20.43,19.77,20.26,19.84,96.6,19.7,0.0,3.72,236.0,0.03
470,SEBRING,2021-01-01,01:15:00,20.37,19.64,20.11,19.69,96.7,19.57,0.0,3.5,235.7,0.04
470,SEBRING,2021-01-01,01:30:00,20.31,19.6,20.06,19.65,96.9,19.55,0.0,3.44,228.9,0.03
470,SEBRING,2021-01-01,01:45:00,20.25,19.54,20.01,19.6,96.9,19.5,0.0,3.71,235.2,0.03
470,SEBRING,2021-01-01,02:00:00,20.19,19.43,19.91,19.52,97.0,19.42,0.0,3.62,234.2,0.03
470,SEBRING,2021-01-01,02:15:00,20.13,19.41,19.89,19.49,97.0,19.4,0.0,3.49,236.6,0.03
470,SEBRING,2021-01-01,02:30:00,20.08,19.37,19.87,19.47,97.0,19.38,0.0,3.18,233.4,0.03
470,SEBRING,2021-01-01,02:45:00,20.02,19.38,19.84,19.42,96.9,19.33,0.0,3.69,242.4,0.04
470,SEBRING,2021-01-01,03:00:00,19.97,19.21,19.67,19.25,97.0,19.18,0.0,3.09,239.9,0.05
470,SEBRING,2021-01-01,03:15:00,19.92,19.02,19.5,19.09,97.1,19.03,0.0,2.69,238.3,0.05
470,SEBRING,2021-01-01,03:30:00,19.86,18.92,19.41,19.04,97.3,18.97,0.0,2.36,234.2,0.04
470,SEBRING,2021-01-01,03:45:00,19.81,18.99,19.45,19.05,97.4,19.03,0.0,2.87,241.1,0.04
470,SEBRING,2021-01-01,04:00:00,19.75,18.98,19.42,19.01,97.4,19.0,0.0,3.2,242.2,0.05
470,SEBRING,2021-01-01,04:15:00,19.7,18.92,19.33,18.91,97.4,18.91,0.0,2.93,245.2,0.06
470,SEBRING,2021-01-01,04:30:00,19.65,18.76,19.21,18.82,97.5,18.8,0.0,2.85,234.9,0.05
470,SEBRING,2021-01-01,04:45:00,19.6,18.8,19.24,18.86,97.6,18.85,0.0,2.22,240.2,0.05
470,SEBRING,2021-01-01,05:00:00,19.56,18.63,19.09,18.73,97.7,18.72,0.0,1.99,238.5,0.05
470,SEBRING,2021-01-01,05:15:00,19.5,18.55,19.01,18.65,97.9,18.67,0.0,2.16,237.8,0.05
470,SEBRING,2021-01-01,05:30:00,19.46,18.44,18.93,18.61,98.0,18.61,0.0,2.28,230.3,0.05
470,SEBRING,2021-01-01,05:45:00,19.41,18.39,18.89,18.56,98.1,18.58,0.0,2.61,234.0,0.05
470,SEBRING,2021-01-01,06:00:00,19.36,18.45,18.92,18.58,98.2,18.63,0.0,2.4,238.2,0.05
470,SEBRING,2021-01-01,06:15:00,19.31,18.47,18.9,18.53,98.2,18.61,0.0,2.53,242.7,0.06
470,SEBRING,2021-01-01,06:30:00,19.27,18.43,18.86,18.49,98.3,18.59,0.0,2.09,241.4,0.07
470,SEBRING,2021-01-01,06:45:00,19.22,18.27,18.8,18.54,98.4,18.54,0.0,2.28,233.9,0.08
470,SEBRING,2021-01-01,07:00:00,19.18,18.42,18.96,18.66,98.5,18.72,0.0,2.4,237.0,0.25
470,SEBRING,2021-01-01,07:15:00,19.13,18.58,19.08,18.74,98.5,18.84,0.0,2.57,238.4,1.73
470,SEBRING,2021-01-01,07:30:00,19.09,18.8,19.29,18.91,98.6,19.06,0.0,3.03,237.9,7.04
470,SEBRING,2021-01-01,07:45:00,19.05,18.99,19.49,19.09,98.6,19.26,0.0,2.96,236.7,17.25
470,SEBRING,2021-01-01,08:00:00,19.03,19.26,19.71,19.35,98.5,19.47,0.0,3.06,239.1,30.51
470,SEBRING,2021-01-01,08:15:00,19.01,19.77,20.12,19.8,98.4,19.86,0.0,3.01,239.5,63.05
470,SEBRING,2021-01-01,08:30:00,19.0,20.72,20.83,20.37,97.6,20.44,0.0,4.64,242.9,144.5
470,SEBRING,2021-01-01,08:45:00,19.01,21.62,21.65,20.99,95.3,20.87,0.0,5.0,244.0,197.2
470,SEBRING,2021-01-01,09:00:00,19.03,22.5,22.53,21.68,92.2,21.2,0.0,5.93,241.7,249.1
470,SEBRING,2021-01-01,09:15:00,19.06,23.12,23.23,22.28,90.2,21.54,0.0,6.5,246.2,298.4
470,SEBRING,2021-01-01,09:30:00,19.11,23.81,23.75,22.71,88.5,21.74,0.0,6.54,243.9,343.1
470,SEBRING,2021-01-01,09:45:00,19.19,24.35,24.27,23.19,87.2,22.01,0.0,7.44,244.1,386.8
470,SEBRING,2021-01-01,10:00:00,19.31,24.92,24.83,23.77,85.5,22.23,0.0,8.15,248.1,407.5
470,SEBRING,2021-01-01,10:15:00,19.47,25.61,25.58,24.52,82.1,22.3,0.0,7.47,255.3,435.6
470,SEBRING,2021-01-01,10:30:00,19.65,26.32,26.23,25.04,78.9,22.28,0.0,8.75,252.9,504.1
470,SEBRING,2021-01-01,10:45:00,19.86,26.59,26.49,25.33,76.8,22.09,0.0,8.78,255.4,495.8
470,SEBRING,2021-01-01,11:00:00,20.09,27.14,26.91,25.76,74.8,22.06,0.0,7.1,259.6,404.9
470,SEBRING,2021-01-01,11:15:00,20.33,27.09,26.88,25.72,73.6,21.77,0.0,8.46,261.2,565.6
470,SEBRING,2021-01-01,11:30:00,20.58,27.33,27.18,25.99,72.0,21.7,0.0,8.51,252.8,506.0
470,SEBRING,2021-01-01,11:45:00,20.85,27.76,27.59,26.37,70.9,21.84,0.0,7.66,252.4,522.8
470,SEBRING,2021-01-01,12:00:00,21.12,27.31,27.28,26.1,71.2,21.61,0.0,8.25,254.9,421.0
470,SEBRING,2021-01-01,12:15:00,21.39,28.04,27.89,26.58,68.91,21.66,0.0,9.29,251.7,595.3
470,SEBRING,2021-01-01,12:30:00,21.65,27.59,27.47,26.36,69.92,21.5,0.0,7.93,256.6,480.6
470,SEBRING,2021-01-01,12:45:00,21.92,29.22,28.76,27.33,64.31,21.36,0.0,6.58,268.1,703.0
470,SEBRING,2021-01-01,13:00:00,22.19,29.72,29.18,27.6,62.72,21.35,0.0,6.15,270.7,635.3
470,SEBRING,2021-01-01,13:15:00,22.5,29.53,29.07,27.62,62.27,21.13,0.0,6.45,266.5,607.3
